"Ita Seejiq ga tru ta dntulan kari, kiya ka Toda, Truku ni Tgdaya.","我們賽德克族擁有三個方言群，即都達、德路固及德固達雅等方言群。","https://web.klokah.tw/text/sound/25929/428544.mp3"
"Tru dntulan kari nii ga mtduwa msiling ni mpprngaw kari, manu ka hnang o ini hari ktna, wada niqan cikuh ka ini bi ktna uri.","三個方言群之間可以互相溝通、交談，只是聲腔語調稍有差異，使用的詞語也有完全不同之處，","https://web.klokah.tw/text/sound/25929/428545.mp3"
"Saw ka jiyax msa ka kari nTruku o diyax msa ka kari nTodao, ali msa ka kari nTgdaya.","譬如：我們德路固群和都達群的假日和德固達雅群的說法就全然不同。","https://web.klokah.tw/text/sound/25929/428546.mp3"
"Quri saw Gaya do ana nanaq niqan ka seejiq smnru “ini ktna” o, balay bi ga kingal bi ka pusu pnyahan, ada ka bsiyaq dni, wada msrahuq cikuh ka Gaya ta da wa.","至於我們的Gaya（祖訓），雖然有人認為不一樣，實則是同根同源的，或許分離的時間久了之後，他們的Gaya（祖訓）也有些許的改變與不同。","https://web.klokah.tw/text/sound/25929/428547.mp3"
"Qbhangan ka kari snru dha ga “Seejiq mnspruq Pusu Tasil ka pusu bi rudan ta” msa,","傳說中，我們賽德克族的始祖起源於Pusu Qhuni，德路固的族人稱Pusu Btunux，都達的族人則稱Rmdax Tasil，","https://web.klokah.tw/text/sound/25929/428548.mp3"
"Pusu Qhuni msa ka seediq nTgdaya, Tasil rmdax msa ka sediq nToda, seejiq nTruku do Pusu Tasil msa kiya, ga mniq dgiyaq Bnuhur ka Pusu Tasil nii.","傳說中，我們賽德克族的始祖起源於Pusu Qhuni，德路固的族人稱Pusu Btunux，都達的族人則稱Rmdax Tasil，","https://web.klokah.tw/text/sound/25929/428549.mp3"
"Sbiyaw sbiyaw balay han o “Mnspruq truma lhngaw Pusu Tasil ka kingal snaw ni kingal qrijil, wada mstrung hici ka dhiya,","遠古時代，有一男一女誕生於Pusu Btunux底下的岩窟裡，他們最後結為夫妻，從此我們賽德克族逐漸繁衍增多，","https://web.klokah.tw/text/sound/25929/428550.mp3"
"kiya ka kingal snaw ni kingal qrijil nii ga, pnaah siida do kndudul mrana mrana ka hiyi Seejiq, maku ini baka nniqun ka dgiyaq Bnuhur hiya da” msa.","Bnuhur地區後來再也無法容納眾多的族人。

因此，祖先只好開始遷離Bnuhur地區向外擴散，","https://web.klokah.tw/text/sound/25929/428551.mp3"
"Ya ada saw kiya do prajing paah Bnuhur hiya thjil ni mswayay ka rdudan sbiyaw, hici do mtgsak mniq ksun alang Toda, alang Truku ni alang Tgdaya ka Seejiq,","祖居地的族人，最後各自定居於都達、德路固及德固達雅等地區","https://web.klokah.tw/text/sound/25929/428552.mp3"
"ida mnniq Nantow sayang. Duma na Seejiq ga kleelug hraan hidaw mksa, wada mtghak klealang Bsuring sayang, klealang Wanjung syang ni klealang Cowsi syang.","部分族人逐漸向東移，遷到現今的花蓮縣秀林、萬榮、卓溪鄉等等。","https://web.klokah.tw/text/sound/25929/428553.mp3"
"Ana saw kiya ga, ida kinganl dara ka ita, bitaq sayang “Seejiq ta Balay ka ita” msa kana ka tru dntuan kari nii.","即使如此，我們東、西賽德克族人是一家人啊！至今我們三個方言群的族人都會說：「我們是Seediq Balay。」","https://web.klokah.tw/text/sound/25929/428554.mp3"
"Seediq ga, niqan Seejiq Truku, Seediq Tgdaya, Sediq Toda, tru klgan dntulan kari.","我們賽德克族是由Seediq Tkidaya（德固達雅）、Sediq Toda（都達）、Seejiq Truku（德路固）三語群的族人所組成，","https://web.klokah.tw/text/sound/25931/428567.mp3"
"Gaga mniq pusu bi ska dxgal Taywan, hraan hidaw Skangki ni ddgiyaq Iran,","主要分佈在台灣本島中部、東部及宜蘭山區，","https://web.klokah.tw/text/sound/25931/428568.mp3"
