"Kay nagane kay “Ngudardrekay” luiya. sapatupalrane ki kadaengane sunagane.","「魯凱」一詞是由族名「drekay」翻譯而來，","https://web.klokah.tw/text/sound/25836/427299.mp3"
"“drekay”luiya amani ku taabelengane ku lregelrege si takakecelrane.","意思是高海拔深山的地帶","https://web.klokah.tw/text/sound/25836/427621.mp3"
"“ngudradrekay” luiya, la kaamani ki talilregelrege, yatakakecelrane kwini lacekele si laumaumase.","Ngudrdrekay」是魯凱族的族名，意思是住在高海拔深山地帶的人。","https://web.klokah.tw/text/sound/25836/427300.mp3"
"Kay Ngudradrekay, tabekele ku umaumase, laka swalregelrege makanaelre.","凱族人是一個少數的民族，大都居住在高海拔深山的人","https://web.klokah.tw/text/sound/25836/427301.mp3"
"Ala sakaulainga swaadraw ku cekele, arutakalra ku umaumase, langwalay ku amaukesakesane ku tacekecekelane, ala twalaynga kwini matukwakudha.","到了後來，人口變多了，部落居住的地方有限，為了有足夠容納更多的人","https://web.klokah.tw/text/sound/25836/427302.mp3"
"Si ikaynga kay cekele kay bavane. Kudra taikayyanenga nay kay bavane ka cekele, saka ciwkukunga ta ka swa Tayvange, ku siaswalanane ku cayli.","於是，有部分的人開始尋找可以安居生活的地方。","https://web.klokah.tw/text/sound/25836/427303.mp3"
"Kunay ka Ngudradrekay, kadrwa ku dringki, kadrwa ku zidusia. Lu lri ngulatatadre nay, lu alupu nay, lu ngudalrane nay,","民國年初，我們的部落尚未有電，也沒有馬路及任何的車輛。","https://web.klokah.tw/text/sound/25836/427304.mp3"
"lu mubadhabadhane nay, pangwadadavace nay, pangwalailay nay. Lakamani ku kagarange nay karakace nay ka Ngudradrekay.","所以，族人不管是上山工作、打獵或到平地買東西，都是靠著一雙腳。也正因為如此，造就了不少優秀的運動人才。","https://web.klokah.tw/text/sound/25836/427305.mp3"
"Sataw kipaelre nay ki zingsivane lailay, masamali ku swapairange ku badhabadha.","魯凱族人首次參加當時的全省運動會，就一鳴驚人。包辦了所有長距離的金牌，讓所有參賽的人及觀眾感到驚訝！","https://web.klokah.tw/text/sound/25836/427306.mp3"
"La iyaookay, anika yakay ku paramiakay ku garangne, ku sakatucekelane. La twanlaynga kwini si kithinglaenga nay ka Ngudradrekay.","也是從此時開始，大家更了解更認識魯凱族","https://web.klokah.tw/text/sound/25836/427307.mp3"
"Pakelanga kaykameane, ngwalay nay kudra lrumalane nay, gathimi nay. Si arukisamula pasikay ki cekele nay, kudra kaika aulravane ku kakwakudane.","到了今天，我們為了延續祖先謙卑、認真的態度，也為了我們魯凱族的生生代代，經過我們不斷的努力","https://web.klokah.tw/text/sound/25836/427308.mp3"
"Kaika akiarubwanane akipulrivalane ki badhabadha.","我們的部落，如今已經是家喻戶曉，","https://web.klokah.tw/text/sound/25836/427309.mp3"
"Kay cekele nay ka Ngudradrekay, amaninga ku takelakelane ki laswapairange ki lasingibadhabadhane kivaavange kaykameane.","人們最喜歡觀光、旅遊的勝地之一。","https://web.klokah.tw/text/sound/25836/427612.mp3"
"Kay Ngudradrekay, taabekele ku umaumase. Ku cucungulane ta maramaramaw ku taaulriulriane mitaane.","魯凱族人是一個少數民族，祖先所傳承下來的文化禮俗都是一樣的。","https://web.klokah.tw/text/sound/25837/427310.mp3"
"Amia kay: nibekacane ta ka sakwaykaynga ta, kikay ki taikayyane ta ka kadaengane.","魯凱族的祖先代代傳述說：自有天地以來，","https://web.klokah.tw/text/sound/25837/427311.mp3"
"lakamani Sikipalrici ku tasingikayyane ta, tapathagilane ta ikay ku cekele.","祖先是住在「Sikipalrici」的聖地，後來因為人口不斷的增加","https://web.klokah.tw/text/sound/25837/427312.mp3"
"Ala sakaulaynga swaadraunga ku cekele, arutakalranga ku umaumase, langwalay ku amaukesane ku tacekecekelane, ala twalaynga kwini, matukwakudha.","生活方式與需求逐漸改變，後來為了生活的謀求發展，才逐漸的遷移並發展現在的各個部落","https://web.klokah.tw/text/sound/25837/427313.mp3"
"Si ikaynga kay bavane kay cekele. Kayasasane kay Ngudradrekay, kadrua ku maamudu ku cekele.","現在的部落都是各自獨立的自治體，視同一個小國家。","https://web.klokah.tw/text/sound/25837/427315.mp3"
"Yakayyana ku talialaalay, yakayyana ku marudrange, ku amani ka waerece ki cekele.","部落的頭目是治理這個小國家的最高領導人。","https://web.klokah.tw/text/sound/25837/427316.mp3"
"adravane ku kakudhane ki cekele kaiana maamudu, bekelane ku niulravane ku kakudhane;","部落與部落之間是同等地位、相互尊重、和平相處。","https://web.klokah.tw/text/sound/25837/427613.mp3"
"ku maadraw si tikiane ku cekele, maramaramaw ku niake lini, maramaramaw ku kakudhane, mawasakesakene ku cekele,","不管是大部落小部落的魯凱族人，對文化的信念都是一樣的","https://web.klokah.tw/text/sound/25837/427317.mp3"
"makilibalibake ku laumaumase, lu ngulatatadre mubadhabadhane tara waacebe, pasudalru ki drumanane ka cekele, ngwa retesane turamru kay Ngudradrekay.","是一個生命共同體的族群。魯凱族也是一個好客、熱情的民族。不管到哪裡","https://web.klokah.tw/text/sound/25837/427318.mp3"
"Luikay ku wapacay, tara wamua madu lrikape paralubu, ka sakatucekelane makanaelre.","或是去拜訪、參觀不同族群的部落，","https://web.klokah.tw/text/sound/25837/427319.mp3"
"Lakamani kay Ngudradrekay, kadrua ku pathalrane, kadrua ku makalililisi cacapange. Kay Ngudradrekay tabekele, kudra rathudane, amani ku akipusamalramalra nay ki drumane ki cekele.","一定少不了魯凱族最好、最高榮譽的伴手禮「abai」小米糕，魯凱族在其他族群的人來看，是一個非常團結的民族。","https://web.klokah.tw/text/sound/25837/427320.mp3"
"Kay simauladhane kay vaga ta ka Ngudradrekay, bekace ki latumui ta, ka twalay kay","魯凱族最古老的語言就是祖先創造的魯凱語，最古老的魯凱語大致分為","https://web.klokah.tw/text/sound/25838/427321.mp3"
