"kota ka swaDrekai.","我們魯凱族","https://web.klokah.tw/text/sound/24833/413671.mp3"
"kota ka ango Drekai ka tai enema kai vagata,","我們魯凱族共有6個語言別，","https://web.klokah.tw/text/sound/24833/413672.mp3"
"Vedai, Lrabwa, Taromak, Tawlradrek, ’Onogo, Kindavang,","霧台、大武、東魯凱、茂林、萬山、和多納。","https://web.klokah.tw/text/sound/24833/413673.mp3"
"ni kai maramaramaw kai. vaga si kakozaneta","今我們的語言及傳統大多不同了，","https://web.klokah.tw/text/sound/24833/413674.mp3"
"lro yata, amani yaini sa kelra kai telrebe,","也許是因為瘟疫來時，","https://web.klokah.tw/text/sound/24833/413675.mp3"
"lra mathathirako’ongata, si kai mathingathingalrenga,","大家各自奔喪而分開後，了長時間語言及傳統就都不一樣了，","https://web.klokah.tw/text/sound/24833/413676.mp3"
"lra mani yaini kai tama kaelraelranga kai vaga si kakoza,","只有霧台語及大武語與東魯凱語還可以相互了解溝通，","https://web.klokah.tw/text/sound/24833/413678.mp3"
"kathakai swa Vedavedai kai vaga, malralrekete anata makilawlawgo,","","https://web.klokah.tw/text/sound/24833/413733.mp3"
"si kai droma kai taitolwa kai ta ma kiya lawlawgo ,","其他3個語別已經是完全不相同了。","https://web.klokah.tw/text/sound/24833/413679.mp3"
"inilinga kai ta’alra’alr anga, kai ta’asalisisiya ki beceng, kadro mararamaw kai ta’iyaiya, si kota ka soTaromak yakai ka talisiyaneta,","在小米收穫祭儀上也大多不同，東魯凱有自己的禁忌，","https://web.klokah.tw/text/sound/24833/413680.mp3"
"si kota ka soTaromak yakai ka talisiyaneta,","","https://web.klokah.tw/text/sound/24833/413734.mp3"
"lra si ’alakwa aeea ka drekasi karathodo lra kiyokolrodrota sa bazabaza,","這也是外人所害怕不了解之處，","https://web.klokah.tw/text/sound/24833/413681.mp3"
"si lro tokalralisiyaneta makocingale kai lisi,","如果我們不遵循傳統的禁忌，","https://web.klokah.tw/text/sound/24833/413682.mp3"
"lro kaita maka ’adongodong ki lisi, ki beceng amwata mocogo, amwata ka’ilray kaivici wa’acayta,","我們會腳跛、嘴歪、甚至於死亡，","https://web.klokah.tw/text/sound/24833/413683.mp3"
"lramani kwadra mokolrodro ta, ’a’iyaiya ki lisi ki beceng, lro kaiyana. tokalralisiya odravalro kadrwaka akaneaneta.","所以在未做小米嚐薪祭以前，","https://web.klokah.tw/text/sound/24833/413684.mp3"
"lra kaita amalamala silobo waga lro ’asalisi dila malralreketengata mala silobo waga si kane.","我們絕不能煮來吃，","https://web.klokah.tw/text/sound/24833/413685.mp3"
"si kota tara ’adongdongta ki sini ka dromana ki lisi ta,","以免觸犯禁忌。","https://web.klokah.tw/text/sound/24833/413735.mp3"
"si kai yasanenga kiya sososongata ki Twaomasa lra sararengata ki lisi ara ’inolinolingata.","所以，族人一定要遵循這傳統的禁忌。","https://web.klokah.tw/text/sound/24833/413686.mp3"
"konai ka soTaromak","我們東魯凱人","https://web.klokah.tw/text/sound/25583/423163.mp3"
"kota ka soTaromak ikai Balangaw twalrai ko nadroma, ka taingeaneta ka swa Drekai ka cekelre,","我們東魯凱從以前就居住在台東，也是在台東唯一的魯凱族，","https://web.klokah.tw/text/sound/25583/423164.mp3"
"si kota ka sakawcekelra kai omase, ai tama 1,641 kai yasa, kai daane ai tama 385 ka daana.","目前我們的人口數有1641人，385戶。","https://web.klokah.tw/text/sound/25583/423165.mp3"
"asi lro yata sa taw mawbalibalithi kai Dri’ong si Lawtiya ki tamacacabira, wa kelra ka madraw ka sasevera si odalre,","我們的人口數為何會逐漸減少呢？當時日本人與外省人正在打仗時，那時候颱風來襲，","https://web.klokah.tw/text/sound/25583/423166.mp3"
"lra kelra ka madraw ka telrebe, lra dethenai sa drakeralre lra mokolrodro kwadra droma,","風和雨非常的大，而我們所居住的地方靠近河川，","https://web.klokah.tw/text/sound/25583/423167.mp3"
"si davace mobere mwa todaane Saso’aza, si kai yasanenga kai swa Saso’aza takala nga ka omase si acekelrenga, kai droma kai yasa nenga ’alrolrodo idra lavailrini, si davacenga mailrilroko idra cekecekelrelrini, si ikainga si daane ikainga idra si cekelre.","所以那時候有一些族人遷移到Saso’aza居住，現在Saso’aza的族人越來越多，也逐漸形成一個部落了。","https://web.klokah.tw/text/sound/25583/423168.mp3"
