"record","sha256","source_label","target_label"
"GLOSBE_STATIC_0bc0cfcaa77bcb99b222","f48ab413b2d475a5b785a4bdbce09fd760be04a1cbe545389b44557453106ae6","6. (1) ","6. (a) "
"GLOSBE_STATIC_02e05e6e315220891434","f48ab413b2d475a5b785a4bdbce09fd760be04a1cbe545389b44557453106ae6","3. (1) ","3. (a) "
"GLOSBE_STATIC_dd8ca2805ad4a5ca9ed7","f68ee4ea58f9a4cf211698a7713b082d1e1b367be91cf45334e67caa66ba92c6","6. (1) ","6. (a) "
"GLOSBE_STATIC_7de5810b80dce7520980","f68ee4ea58f9a4cf211698a7713b082d1e1b367be91cf45334e67caa66ba92c6","5 ","5 "
"GLOSBE_STATIC_f6fffc7179cbded726d2","f68ee4ea58f9a4cf211698a7713b082d1e1b367be91cf45334e67caa66ba92c6","1, 2. (1) ","1, 2. (a) "
"GLOSBE_STATIC_abacfe31593d36e9c8eb","f68ee4ea58f9a4cf211698a7713b082d1e1b367be91cf45334e67caa66ba92c6","8 ","8 "
"GLOSBE_STATIC_2279d8cecd81b3628060","f68ee4ea58f9a4cf211698a7713b082d1e1b367be91cf45334e67caa66ba92c6","8 ","8 "
"GLOSBE_STATIC_364809b84b77705f159d","f7b1c16e4633140af1fe8d8192234146a80c911b928490a5c3d4e39a1b2791a6","11 ","11 "
"GLOSBE_STATIC_302bb372366627b1f03a","f7b1c16e4633140af1fe8d8192234146a80c911b928490a5c3d4e39a1b2791a6","5 ","5 "
"GLOSBE_STATIC_58a5e4ca37817e7d725c","f7b1c16e4633140af1fe8d8192234146a80c911b928490a5c3d4e39a1b2791a6","3 ","3 "
"GLOSBE_STATIC_7ee4a1ca76e656da829c","f7b1c16e4633140af1fe8d8192234146a80c911b928490a5c3d4e39a1b2791a6","17 ","17 "
"GLOSBE_STATIC_c2463c1b70c73c630131","f7b1c16e4633140af1fe8d8192234146a80c911b928490a5c3d4e39a1b2791a6","21 ","21 "
"GLOSBE_STATIC_37290330699dc2d700f8","247fdbbeacaba4e6970f78324b348ca89033aa54a22cc45fcf0bd89bf53042f6","13 ","13 "
"GLOSBE_STATIC_e05adbe6b4f34e07ed2b","247fdbbeacaba4e6970f78324b348ca89033aa54a22cc45fcf0bd89bf53042f6","11 ","11 "
"GLOSBE_STATIC_019884e286d1e4a71bd6","247fdbbeacaba4e6970f78324b348ca89033aa54a22cc45fcf0bd89bf53042f6","23 ","23 "
"GLOSBE_STATIC_61f8581aff089ac52850","247fdbbeacaba4e6970f78324b348ca89033aa54a22cc45fcf0bd89bf53042f6","19 ","19 "
"GLOSBE_STATIC_934f92ad55be5c68ad32","247fdbbeacaba4e6970f78324b348ca89033aa54a22cc45fcf0bd89bf53042f6","8 ","8 "
"GLOSBE_STATIC_66f2869d01ff96791700","dfe2c9d816cebd9e2e45654697d5bce3d718c334a509009d65ba72b3d36639e8","9. (1) ","9. (a) "
"GLOSBE_STATIC_1a03b868ed140ed26693","dfe2c9d816cebd9e2e45654697d5bce3d718c334a509009d65ba72b3d36639e8","10 ","10 "
"GLOSBE_STATIC_856305b51711f13cac9e","dfe2c9d816cebd9e2e45654697d5bce3d718c334a509009d65ba72b3d36639e8","32 ","32 "
"GLOSBE_STATIC_215efef2a8c39eb43b45","dfe2c9d816cebd9e2e45654697d5bce3d718c334a509009d65ba72b3d36639e8","9 ","9 "
"GLOSBE_STATIC_6e962d3e2d1ea2c86258","143c569d759543fa5269392aafaf82293af8b0de4c22be1e8b96ff1613d44ccb","6 ","6 "
"GLOSBE_STATIC_7f9b5f4312bd135b89f7","143c569d759543fa5269392aafaf82293af8b0de4c22be1e8b96ff1613d44ccb","29 ","29 "
"GLOSBE_STATIC_682e5a3138a73ff2866c","143c569d759543fa5269392aafaf82293af8b0de4c22be1e8b96ff1613d44ccb","2 ","2 "
"GLOSBE_STATIC_42aadaaaf8c31a2a05f9","143c569d759543fa5269392aafaf82293af8b0de4c22be1e8b96ff1613d44ccb","(2) ","(b) "
"GLOSBE_STATIC_d8ef2e34b426cbbb5cb7","143c569d759543fa5269392aafaf82293af8b0de4c22be1e8b96ff1613d44ccb","19 ","19 "
"GLOSBE_STATIC_6b69f7f66a697e555d55","c5813f15320a144ee3090b10712c5505bca4121cffeaca50b20b5a67515c9890","5 ","5 "
"GLOSBE_STATIC_3b38e56373bc27b9fdd1","c5813f15320a144ee3090b10712c5505bca4121cffeaca50b20b5a67515c9890","14 ","14 "
"GLOSBE_STATIC_2f40fce604c85f70209f","043db42fa15666dcb072a628ca7b8a9f1db22e2927873a34632c980ca9c4542b","2 ","2 "
"GLOSBE_STATIC_99e55b421b98c1e88884","043db42fa15666dcb072a628ca7b8a9f1db22e2927873a34632c980ca9c4542b","14 ","14 "
"GLOSBE_STATIC_92482c3907cf19d3eaec","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","3 ","3 "
"GLOSBE_STATIC_41a79adf1b09bf0d421c","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","4 ","4 "
"GLOSBE_STATIC_36460e161b26d887bb08","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","5 ","5 "
"GLOSBE_STATIC_24cf093ba52b06483b12","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","18 ","18 "
"GLOSBE_STATIC_c9f0db925318286b40f7","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","16 ","16 "
"GLOSBE_STATIC_7b7ef5c78f8cd3005abd","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","8 ","8 "
"GLOSBE_STATIC_51fb79aa3a7f0e2e973c","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","18 ","18 "
"GLOSBE_STATIC_1d477a064111301322d9","b67f6ae284afc5a5fc5f8b95157711a933d6e789ed56f383c2928fab30f8b3a2","17 ","17 "
"GLOSBE_STATIC_2c920be56e8d90864ca0","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","10 ","10 "
"GLOSBE_STATIC_49aa6c645b00d0493a12","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","15 ","15 "
"GLOSBE_STATIC_314ef04758f2ca27f2f5","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","10 ","10 "
"GLOSBE_STATIC_236f33effea3470fdcae","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","11 ","11 "
"GLOSBE_STATIC_b5b4f219f97aec3ab546","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","11 ","11 "
"GLOSBE_STATIC_57024af83f33ece33a56","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","19 ","19 "
"GLOSBE_STATIC_01987a3847c54145d06f","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","21. (1) ","21. (a) "
"GLOSBE_STATIC_bd665779128cbdacffd4","dafc8401e3abf505fe128232c920fb898fa3bdba99e8dd55323cc3b4dd57a788","19 ","19 "
"GLOSBE_STATIC_6f582bc90abe6730ca62","ae9716aab28affbd7ac6dcbc22e6778dc4abc118cc8b2f1c0773d7ffc307c936","8 ","8 "
"GLOSBE_STATIC_0ff7832dd8a325f35057","ae9716aab28affbd7ac6dcbc22e6778dc4abc118cc8b2f1c0773d7ffc307c936","11 ","11 "
"GLOSBE_STATIC_e67bdf73d84094e21d98","7d34c2d1ba46575901b69d96a553e57d162bad73e7e97e3b3cdb8c25741d2bfb","(2) ","(b) "
"GLOSBE_STATIC_b67b96143b20bf783284","7d34c2d1ba46575901b69d96a553e57d162bad73e7e97e3b3cdb8c25741d2bfb","17 ","17 "
"GLOSBE_STATIC_219c27683c8f3eb542d1","7d34c2d1ba46575901b69d96a553e57d162bad73e7e97e3b3cdb8c25741d2bfb","17 ","17 "
"GLOSBE_STATIC_e8ae942800456c5cd74b","6a9a583a24c33bee044391324d1581551d08953a345a73fb2ad87e0e3bbd834f","16 ","16 "
"GLOSBE_STATIC_f7f8e1adba3b3ca0206b","6a9a583a24c33bee044391324d1581551d08953a345a73fb2ad87e0e3bbd834f","8 ","8 "
"GLOSBE_STATIC_d88e849a4c18fda6f95f","6a9a583a24c33bee044391324d1581551d08953a345a73fb2ad87e0e3bbd834f","15 ","15 "
"GLOSBE_STATIC_29b963486bc5d73d698a","f3df0ed0747a6c1713df49b6a87eebbffc761b9282b179c24f5303c92b8042ba","9 ","9 "
"GLOSBE_STATIC_536b4597022642291aaa","f3df0ed0747a6c1713df49b6a87eebbffc761b9282b179c24f5303c92b8042ba","12 ","12 "
"GLOSBE_STATIC_bf4c5520ef02dbfad91e","f3df0ed0747a6c1713df49b6a87eebbffc761b9282b179c24f5303c92b8042ba","(2) ","(b) "
"GLOSBE_STATIC_70c9c9bddf0051de4bd7","f3df0ed0747a6c1713df49b6a87eebbffc761b9282b179c24f5303c92b8042ba","18 ","18 "
"GLOSBE_STATIC_edde9ab6b13c185dd4f3","f3df0ed0747a6c1713df49b6a87eebbffc761b9282b179c24f5303c92b8042ba","7 ","7 "
"GLOSBE_STATIC_8b4ea4e6b2c4f604a52c","f3df0ed0747a6c1713df49b6a87eebbffc761b9282b179c24f5303c92b8042ba","9 ","9 "
"GLOSBE_STATIC_5c0fe7208337fad0f8fb","f3df0ed0747a6c1713df49b6a87eebbffc761b9282b179c24f5303c92b8042ba","17 ","17 "
"GLOSBE_STATIC_bc2a6472f4efba7bd274","0764d2149e39c88a54db08c8dd292154d3fc66e063dc4349b563bd440e1a77d5","15 ","15 "
"GLOSBE_STATIC_acd2ed88b9903f39ce40","0764d2149e39c88a54db08c8dd292154d3fc66e063dc4349b563bd440e1a77d5","3 ","3 "
"GLOSBE_STATIC_186014a642feba0a27ef","0764d2149e39c88a54db08c8dd292154d3fc66e063dc4349b563bd440e1a77d5","(2) ","(b) "
"GLOSBE_STATIC_6bd35f0b4fe13ab72d5a","0764d2149e39c88a54db08c8dd292154d3fc66e063dc4349b563bd440e1a77d5","12 ","12 "
"GLOSBE_STATIC_d5fc8cbb13ff767646d6","0764d2149e39c88a54db08c8dd292154d3fc66e063dc4349b563bd440e1a77d5","5 ","5 "
"GLOSBE_STATIC_694d230865945f71cc85","38205c2f155176b12c853cbc543f7c52e4704bec5f3cb523eb0d1d5ed80e71d1","7 ","7 "
"GLOSBE_STATIC_18351461914c23e7cf9c","38205c2f155176b12c853cbc543f7c52e4704bec5f3cb523eb0d1d5ed80e71d1","5 ","5 "
"GLOSBE_STATIC_da52984601afbab38df9","38205c2f155176b12c853cbc543f7c52e4704bec5f3cb523eb0d1d5ed80e71d1","9, 10. (1) ","9, 10. (a) "
"GLOSBE_STATIC_b0c5e30d7bceb0d3a754","38205c2f155176b12c853cbc543f7c52e4704bec5f3cb523eb0d1d5ed80e71d1","4 ","4 "
"GLOSBE_STATIC_99440b7c017a52eb4d35","8671d74d99af5f8c782beea45b8113f35f75ea819fee691c912dba5fc44fe1e2","2 ","2 "
"GLOSBE_STATIC_10bdf1c04cea98a8eb54","8671d74d99af5f8c782beea45b8113f35f75ea819fee691c912dba5fc44fe1e2","(2) ","(b) "
"GLOSBE_STATIC_10b3f474d62b919381c9","8671d74d99af5f8c782beea45b8113f35f75ea819fee691c912dba5fc44fe1e2","9 ","9 "
"GLOSBE_STATIC_7828f6e0649c7d45e5c2","8671d74d99af5f8c782beea45b8113f35f75ea819fee691c912dba5fc44fe1e2","2 ","2 "
"GLOSBE_STATIC_e195ab026fd4fdb5b75c","8671d74d99af5f8c782beea45b8113f35f75ea819fee691c912dba5fc44fe1e2","9 ","9 "
"GLOSBE_STATIC_7b71458086e7327e8714","1009e6e3ad444e0737b9a47036d5bab240ca7d3c3591d3be10d6817fc9b0494a","5 ","5 "
"GLOSBE_STATIC_85d94566de1b5fd789d3","1009e6e3ad444e0737b9a47036d5bab240ca7d3c3591d3be10d6817fc9b0494a","7 ","7 "
"GLOSBE_STATIC_9182538cde9603be569f","1009e6e3ad444e0737b9a47036d5bab240ca7d3c3591d3be10d6817fc9b0494a","1, 2. (1) ","1, 2. (a) "
"GLOSBE_STATIC_d93ef3b6e51f9a999129","1009e6e3ad444e0737b9a47036d5bab240ca7d3c3591d3be10d6817fc9b0494a","15 ","15 "
"GLOSBE_STATIC_f95ede1d607b8a044f08","1009e6e3ad444e0737b9a47036d5bab240ca7d3c3591d3be10d6817fc9b0494a","2 ","2 "
"GLOSBE_STATIC_1e413f38bfbcaad254a4","1009e6e3ad444e0737b9a47036d5bab240ca7d3c3591d3be10d6817fc9b0494a","19 ","19 "
"GLOSBE_STATIC_7469eee954c9d86a5453","1009e6e3ad444e0737b9a47036d5bab240ca7d3c3591d3be10d6817fc9b0494a","16 ","16 "
"GLOSBE_STATIC_b91d59dc5f5f383b7189","04705157622e129dc1284f0739e8f0b0342def61ce28960518d54a38f6824c52","13 ","13 "
"GLOSBE_STATIC_16ac8fd5d5729bdd83db","04705157622e129dc1284f0739e8f0b0342def61ce28960518d54a38f6824c52","18, 19. (1) ","18, 19. (a) "
"GLOSBE_STATIC_9c438f2765180091b236","540af6c81664e717a0eafe6f6f7899d4a4569bd53b03eacb0988acc36f54ff68","21 ","21 "
"GLOSBE_STATIC_3e9ca9bb0f8be4e3efe7","ea96a24a4457c16cc26a98c2853ac77281a99474936dee7c3c2d9b49c54fab07","15 ","15 "
"GLOSBE_STATIC_560b08fa4addd88934f3","ea96a24a4457c16cc26a98c2853ac77281a99474936dee7c3c2d9b49c54fab07","16 ","16 "
"GLOSBE_STATIC_4c7caba7117e18b47e88","ea96a24a4457c16cc26a98c2853ac77281a99474936dee7c3c2d9b49c54fab07","11 ","11 "
"GLOSBE_STATIC_899e271196fdde2da543","ea96a24a4457c16cc26a98c2853ac77281a99474936dee7c3c2d9b49c54fab07","4 ","4 "
"GLOSBE_STATIC_bf5cbe83461e981be19f","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","12 ","12 "
"GLOSBE_STATIC_002a17817e528873fb62","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","8 ","8 "
"GLOSBE_STATIC_d172fdd3d800e5a42f8d","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","19 ","19 "
"GLOSBE_STATIC_47e7cd3df3387644f19f","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","2 ","2 "
"GLOSBE_STATIC_bb10d9c2b146f8f77b95","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","12 ","12 "
"GLOSBE_STATIC_c09c8dc49492de63530f","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","14 ","14 "
"GLOSBE_STATIC_a516ee7839f339b27845","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","4 ","4 "
"GLOSBE_STATIC_2c0298e737232d8c3f8d","a0243e186c0117a5daad670838e4b2300050e5955bfe41a9482fa9b262a93c23","3 ","3 "
"GLOSBE_STATIC_369e027b210f9114f152","0de3b743218f1cec9fee60a533ace773be880e04b117758025881f675ed41f34","7 ","7 "
"GLOSBE_STATIC_9965f10541e2639dcbfd","0de3b743218f1cec9fee60a533ace773be880e04b117758025881f675ed41f34","5 ","5 "
"GLOSBE_STATIC_7646fb386f0e22c21439","4d52d7bd35a638b792ad3cd350ba25775824ade302004867b11187be3f2ac2a0","21 ","21 "
"GLOSBE_STATIC_09f4166802671ced0ae4","ece1b808757c56c3aa247f77ac2aa661cccc497a973840a59408cc87909df26c","19 ","19 "
"GLOSBE_STATIC_5cdf071174b76d5a6671","ece1b808757c56c3aa247f77ac2aa661cccc497a973840a59408cc87909df26c","6 ","6 "
"GLOSBE_STATIC_4d7747b5d2f680fa86e9","3b1479ae6dcfc58f8baf2d57762e3bdc02679f8af8a374b7443b0754829b8df9","7 ","7 "
"GLOSBE_STATIC_0e7b7331e94ef3378e4d","3b1479ae6dcfc58f8baf2d57762e3bdc02679f8af8a374b7443b0754829b8df9","13 ","13 "
"GLOSBE_STATIC_a59c28402ad7426e2794","3b1479ae6dcfc58f8baf2d57762e3bdc02679f8af8a374b7443b0754829b8df9","3 ","3 "
"GLOSBE_STATIC_ba4ecbf821202c98712c","3b1479ae6dcfc58f8baf2d57762e3bdc02679f8af8a374b7443b0754829b8df9","11 ","11 "
"GLOSBE_STATIC_39065648c76cecfcd0e5","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","1, 2. (1) ","1, 2. (a) "
"GLOSBE_STATIC_57e8e6b9c70ec535b226","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","3 ","3 "
"GLOSBE_STATIC_8f42de1502e5b7e60933","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","2 ","2 "
"GLOSBE_STATIC_959bf4e518912331545a","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","17 ","17 "
"GLOSBE_STATIC_e1d285b4924af0eec439","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","(2) ","(b) "
"GLOSBE_STATIC_289b0832edead5441d28","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","11 ","11 "
"GLOSBE_STATIC_f1ac1ab944f85df9ea99","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","18 ","18 "
"GLOSBE_STATIC_3bde8dd1024bba110c90","aa297cca94e838ef63a421fc25d34349121d70cb0a58045bf4d7cb2cf2c76534","21 ","21 "
"GLOSBE_STATIC_8984bd99a9029d49cbf6","97c86a9d9ad24612347323234a683ef39753c1bd0591637f2361f0c14c01b265","14 ","14 "
"GLOSBE_STATIC_da0280c6321ac9019820","97c86a9d9ad24612347323234a683ef39753c1bd0591637f2361f0c14c01b265","14 ","14 "
"GLOSBE_STATIC_81ee7a0ea39d1fd7ada8","97c86a9d9ad24612347323234a683ef39753c1bd0591637f2361f0c14c01b265","11 ","11 "
"GLOSBE_STATIC_07feb1a6573320438484","97c86a9d9ad24612347323234a683ef39753c1bd0591637f2361f0c14c01b265","10 ","10 "
"GLOSBE_STATIC_223219293656863f7e64","97c86a9d9ad24612347323234a683ef39753c1bd0591637f2361f0c14c01b265","8 ","8 "
"GLOSBE_STATIC_d495ec73f1bbb31fcbf3","43b98d1a2a017af00ea70c4506cdab5348ecc01ce366b41ebb709591bddb5c85","6 ","6 "
"GLOSBE_STATIC_d835bad99ab1b36c8456","e973023aacf6d4f04705ee184753405dfd290e0595006c861e6e4508153086c5","17 ","17 "
"GLOSBE_STATIC_e294afe454a99f98c8b1","2c5a4f0114258ad07473468b2aaa0211698e480935bfd1f9c6e5760a413e0809","8 ","8 "
"GLOSBE_STATIC_86a4c159a20ff6806985","ba24d8c4a505254280385796c33adf1cbe2947e52dd1f6f8728a45f975596896","19 ","19 "
"GLOSBE_STATIC_0ce7dc253259f80a6e32","ba24d8c4a505254280385796c33adf1cbe2947e52dd1f6f8728a45f975596896","3 ","3 "
"GLOSBE_STATIC_9d705f88ecfa00005537","225b7a220e45b012b01e5e8e9e3a13b4cc85e87e49d49ed6094c74edf1a1bd57","8. (1) ","8. (a) "
"GLOSBE_STATIC_b8e193a04a4e46f2af66","225b7a220e45b012b01e5e8e9e3a13b4cc85e87e49d49ed6094c74edf1a1bd57","10 ","10 "
"GLOSBE_STATIC_20677730156ae174a1ca","225b7a220e45b012b01e5e8e9e3a13b4cc85e87e49d49ed6094c74edf1a1bd57","(2) ","(b) "
"GLOSBE_STATIC_996e2a2b88c336058349","225b7a220e45b012b01e5e8e9e3a13b4cc85e87e49d49ed6094c74edf1a1bd57","19 ","19 "
"GLOSBE_STATIC_b8a227ba29ee47d00d22","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","7 ","7 "
"GLOSBE_STATIC_a405a1d7110009b4bac4","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","13 ","13 "
"GLOSBE_STATIC_2ad2b63594e5fda2c813","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","13 ","13 "
"GLOSBE_STATIC_eb9c0548a200a710e73a","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","(2) ","(b) "
"GLOSBE_STATIC_a5930b0ab77a6673fcf5","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","(2) ","(b) "
"GLOSBE_STATIC_d569909084fd6c765b5e","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","20 ","20 "
"GLOSBE_STATIC_38bae6e3f15d5a4d4b03","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","16 ","16 "
"GLOSBE_STATIC_c114eccc19e5ee0a0226","0f427bf5deef8d42fc2f07f85a3a0bdddd4637bdec03d849f6954b6c7af7959e","5, 6. (1) ","5, 6. (a) "
"GLOSBE_STATIC_973dd305783b86f4ba05","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","5 ","5 "
"GLOSBE_STATIC_118c798ddc55549b6af2","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","2 ","2 "
"GLOSBE_STATIC_e05b685abee6747b9da4","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","11 ","11 "
"GLOSBE_STATIC_6b519240637e1a4ec61b","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","8 ","8 "
"GLOSBE_STATIC_8a8a07982fbb48977650","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","17 ","17 "
"GLOSBE_STATIC_cdf467d4c8e45c0c1c2c","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","3 ","3 "
"GLOSBE_STATIC_17b85da4524c3494c050","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","13, 14. (1) ","13, 14. (a) "
"GLOSBE_STATIC_a6b01e819c5af2381e1e","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","9 ","9 "
"GLOSBE_STATIC_ad545bc7448b36bb0b49","2b506f5bc783d68a74d202d799f8a42961e51d5c3695cf2a8b07fd258841351f","2 ","2 "
"GLOSBE_STATIC_6b14846c1b44d2ec4d9b","282e2a09349fd720f6927e9dc502674dc9d217ceb786a4cef7ad35686500d8a3","7 ","7 "
"GLOSBE_STATIC_e3c680954bf9429dc517","e0cc5bd2e0e291425f5236cb467a12213548583175bcb14ea47b124cf667714c","(2) ","(b) "
"GLOSBE_STATIC_a3ea8c3a42546ba6bc8a","e0cc5bd2e0e291425f5236cb467a12213548583175bcb14ea47b124cf667714c","9 ","9 "
"GLOSBE_STATIC_a17d3d047d2146fe8947","e0cc5bd2e0e291425f5236cb467a12213548583175bcb14ea47b124cf667714c","(2) ","(b) "
"GLOSBE_STATIC_938bd2c2d182554a673a","34a0c94b11f32602ad5115951a10ccd0f931d98592a6aeac52694ceea9296581","6 ","6 "
"GLOSBE_STATIC_0bebfb341b11844a1c1c","34a0c94b11f32602ad5115951a10ccd0f931d98592a6aeac52694ceea9296581","7 ","7 "
"GLOSBE_STATIC_959ce306bec2789614f6","34a0c94b11f32602ad5115951a10ccd0f931d98592a6aeac52694ceea9296581","16 ","16 "
"GLOSBE_STATIC_4c1257721769223b0e80","cbf9c6a552b2e8b7561ef4548456e6eace3dda54d0ae8d12eaaecf883f19209a","11 ","11 "
"GLOSBE_STATIC_90ebaffafbcc142b7348","cbf9c6a552b2e8b7561ef4548456e6eace3dda54d0ae8d12eaaecf883f19209a","12 ","12 "
"GLOSBE_STATIC_7273e15a6794c0573773","d034c4492289edbb831593a876f28e780193bce7e5d512465427960807be0dad","2 ","2 "
"GLOSBE_STATIC_e786e991e7730054b982","0c3cd9da8e3b3d7168cbc09702b48c577deda2e105ed86fe4cefaf76ba6efddb","5 ","5 "
"GLOSBE_STATIC_9f2fb1cf52650a207273","0c3cd9da8e3b3d7168cbc09702b48c577deda2e105ed86fe4cefaf76ba6efddb","3 ","3 "
"GLOSBE_STATIC_48b92d3956e3ee0b2e1a","a2595b8ae22178483ce1cefc9ef1a2256d7259f5afb3405543c871f71b351d5a","10 ","10 "
"GLOSBE_STATIC_7202f2fddb747d4be4b2","a2595b8ae22178483ce1cefc9ef1a2256d7259f5afb3405543c871f71b351d5a","2 ","2 "
"GLOSBE_STATIC_152766dc0555b1c5dc22","a2595b8ae22178483ce1cefc9ef1a2256d7259f5afb3405543c871f71b351d5a","13, 14. (1) ","13, 14. (a) "
"GLOSBE_STATIC_519353cdfd8f129a4e60","a2595b8ae22178483ce1cefc9ef1a2256d7259f5afb3405543c871f71b351d5a","12 ","12 "
"GLOSBE_STATIC_7b426933f8753f77cca8","a2595b8ae22178483ce1cefc9ef1a2256d7259f5afb3405543c871f71b351d5a","10. (1) ","10. (a) "
"GLOSBE_STATIC_b604b8402882c533acc6","546a12796d51a432e6903ff76071a7b0652dab0366d608f97212c2f8ef086235","13 ","13 "
"GLOSBE_STATIC_a71dd633bfbd681d360d","b67e20717faa184259efb7c8742b7af722d0f6ff27c581360003d7b296d9d98d","14 ","14 "
"GLOSBE_STATIC_a5fdb0f0f47aa45e0c0d","72363031afecd387a4fa56092012854801bfb349bffb65ac10f7b5506721386c","3 ","3 "
"GLOSBE_STATIC_b7b10383b3153d1ac65d","5cf212aca92d73bdb36cb9cec9b6e3041552e8a4b133c6549ce6e5a2c3e9ce96","6 ","6 "
"GLOSBE_STATIC_e7f4261aa0cabfa63391","5cf212aca92d73bdb36cb9cec9b6e3041552e8a4b133c6549ce6e5a2c3e9ce96","3 ","3 "
"GLOSBE_STATIC_e16d3d528b8af277ac38","5cf212aca92d73bdb36cb9cec9b6e3041552e8a4b133c6549ce6e5a2c3e9ce96","15 ","15 "
"GLOSBE_STATIC_d60b2eb866979a829bf2","5cf212aca92d73bdb36cb9cec9b6e3041552e8a4b133c6549ce6e5a2c3e9ce96","15 ","15 "
"GLOSBE_STATIC_a1a84da6c4c894547439","bcdf30dea2cfd42135c4951727c3b76d853eb379f47c246d248d5f16f669a31f","16 ","16 "
"GLOSBE_STATIC_b14590a0e92bee099e77","bcdf30dea2cfd42135c4951727c3b76d853eb379f47c246d248d5f16f669a31f","17 ","17 "
"GLOSBE_STATIC_a54a7c2f18ac68134c5e","0cb91fed19c8102efa744aeb580c4ff0fb73d18fa13fcbd25baaf0d9a6598dc2","15 ","15 "
"GLOSBE_STATIC_528c5bce50d8fc8dd2db","0cb91fed19c8102efa744aeb580c4ff0fb73d18fa13fcbd25baaf0d9a6598dc2","14 ","14 "
"GLOSBE_STATIC_093175f0e424cf50cd3f","e3686879e202c6504079f9bd42f67f9b1acc573e6b6e677bce4f6fec231593eb","6 ","6 "
"GLOSBE_STATIC_2ab6ea0a9be3ac2e074c","e3686879e202c6504079f9bd42f67f9b1acc573e6b6e677bce4f6fec231593eb","4 ","4 "
"GLOSBE_STATIC_94b5f2f146b3c91164f0","4a594f09c3049291b1ee95e30c7e6238bfc47573e302aac52a4efa82438b2f98","5 ","5 "
"GLOSBE_STATIC_16beb04560e279662a40","4a594f09c3049291b1ee95e30c7e6238bfc47573e302aac52a4efa82438b2f98","6 ","6 "
