"Sinsiy pcbaq biru, lokah su ga.","老師，你好嗎？","https://web.klokah.tw/ninew/sound/16/01/01-B-1.mp3"
"Sinsiy pcbaq biru","老師","https://web.klokah.tw/ninew/sound/16/01/01-C-1-1.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/16/01/01-C-1-2.mp3"
"su","你","https://web.klokah.tw/ninew/sound/16/01/01-C-1-3.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/01-C-1-4.mp3"
"lokah saku, lokah su uziy.","我很好，你也好嗎？","https://web.klokah.tw/ninew/sound/16/01/01-B-2.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/16/01/01-C-2-1.mp3"
"saku","我","https://web.klokah.tw/ninew/sound/16/01/01-C-2-2.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/16/01/01-C-2-3.mp3"
"su","你","https://web.klokah.tw/ninew/sound/16/01/01-C-2-4.mp3"
"uziy","也","https://web.klokah.tw/ninew/sound/16/01/01-C-2-5.mp3"
"lokah saku uzi, mhway su balay!","我也很好，謝謝你！","https://web.klokah.tw/ninew/sound/16/01/01-B-3.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/16/01/01-C-3-1.mp3"
"saku","我","https://web.klokah.tw/ninew/sound/16/01/01-C-3-2.mp3"
"uzi","也","https://web.klokah.tw/ninew/sound/16/01/01-C-3-3.mp3"
"mhway","謝謝","https://web.klokah.tw/ninew/sound/16/01/01-C-3-4.mp3"
"su","你","https://web.klokah.tw/ninew/sound/16/01/01-C-3-5.mp3"
"balay","非常","https://web.klokah.tw/ninew/sound/16/01/01-C-3-6.mp3"
"isu ga mqwas biru.","你是學生嗎？","https://web.klokah.tw/ninew/sound/16/01/02-B-1.mp3"
"isu","你","https://web.klokah.tw/ninew/sound/16/01/02-C-1-1.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/02-C-1-2.mp3"
"mqwas biru","學生","https://web.klokah.tw/ninew/sound/16/01/02-C-1-3.mp3"
"aw, kun ga mqwas biru.","是的，我是學生。","https://web.klokah.tw/ninew/sound/16/01/02-B-2.mp3"
"aw","是的","https://web.klokah.tw/ninew/sound/16/01/02-C-2-1.mp3"
"kun","我（獨立式）","https://web.klokah.tw/ninew/sound/16/01/02-C-2-2.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/02-C-2-3.mp3"
"mqwas biru","學生","https://web.klokah.tw/ninew/sound/16/01/02-C-2-4.mp3"
"hiya ga mqwas biru uziy.","他也是學生嗎？","https://web.klokah.tw/ninew/sound/16/01/02-B-3.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/16/01/02-C-3-1.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/02-C-3-2.mp3"
"mqwas biru","學生","https://web.klokah.tw/ninew/sound/16/01/02-C-3-3.mp3"
"uziy","也","https://web.klokah.tw/ninew/sound/16/01/02-C-3-4.mp3"
"iyat, hiya ga Sinsiy pcbaq/psbaq biru.","不是，他是老師。","https://web.klokah.tw/ninew/sound/16/01/02-B-4.mp3"
"iyat","不是","https://web.klokah.tw/ninew/sound/16/01/02-C-4-1.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/16/01/02-C-4-2.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/02-C-4-3.mp3"
"Sinsiy pcbaq/psbaq biru","老師","https://web.klokah.tw/ninew/sound/16/01/02-C-4-4.mp3"
"tuliq cikay!","請起立！","https://web.klokah.tw/ninew/sound/16/01/03-B-1.mp3"
"tuliq","站立","https://web.klokah.tw/ninew/sound/16/01/03-C-1-1.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/16/01/03-C-1-2.mp3"
"tlamiy cikay kmal/kmayal.","請說（說說看）。","https://web.klokah.tw/ninew/sound/16/01/03-B-2.mp3"
"tlamiy","嘗試","https://web.klokah.tw/ninew/sound/16/01/03-C-2-1.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/16/01/03-C-2-2.mp3"
"kmal/kmayal","說","https://web.klokah.tw/ninew/sound/16/01/03-C-2-3.mp3"
"tlamiy cikay mung.","請聽（聽聽看）。","https://web.klokah.tw/ninew/sound/16/01/03-B-3.mp3"
"tlamiy","嘗試","https://web.klokah.tw/ninew/sound/16/01/03-C-3-1.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/16/01/03-C-3-2.mp3"
"mung","聽","https://web.klokah.tw/ninew/sound/16/01/03-C-3-3.mp3"
"tama!","請坐下！","https://web.klokah.tw/ninew/sound/16/01/03-B-4.mp3"
"tama","坐下","https://web.klokah.tw/ninew/sound/16/01/03-C-4-1.mp3"
"pqutay misu cikay ha, ima lalu su.","請問你叫什麼名字？","https://web.klokah.tw/ninew/sound/16/01/04-B-1.mp3"
"pqutay","請問","https://web.klokah.tw/ninew/sound/16/01/04-C-1-1.mp3"
"misu","你","https://web.klokah.tw/ninew/sound/16/01/04-C-1-2.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/16/01/04-C-1-3.mp3"
"ha","[虛]","https://web.klokah.tw/ninew/sound/16/01/04-C-1-4.mp3"
"ima","誰","https://web.klokah.tw/ninew/sound/16/01/04-C-1-5.mp3"
"lalu","名字","https://web.klokah.tw/ninew/sound/16/01/04-C-1-6.mp3"
"su","你","https://web.klokah.tw/ninew/sound/16/01/04-C-1-7.mp3"
"Yukan Pasang lalu mu.","我是Yukan Pasan。","https://web.klokah.tw/ninew/sound/16/01/04-B-2.mp3"
"Yukan Pasang","（人名）","https://web.klokah.tw/ninew/sound/16/01/04-C-2-1.mp3"
"lalu","名字","https://web.klokah.tw/ninew/sound/16/01/04-C-2-2.mp3"
"mu","他","https://web.klokah.tw/ninew/sound/16/01/04-C-2-3.mp3"
"Yumin Hayung lalu nya.","他的名字叫Yumin Hayung嗎？","https://web.klokah.tw/ninew/sound/16/01/04-B-3.mp3"
"Yumin Hayung","（人名）","https://web.klokah.tw/ninew/sound/16/01/04-C-3-1.mp3"
"lalu","名字","https://web.klokah.tw/ninew/sound/16/01/04-C-3-2.mp3"
"nya","他","https://web.klokah.tw/ninew/sound/16/01/04-C-3-3.mp3"
"iyat, lalu nya ga Maray Lesa/Laysa.","不是，他叫做Maray Lesa。","https://web.klokah.tw/ninew/sound/16/01/04-B-4.mp3"
"iyat","不是","https://web.klokah.tw/ninew/sound/16/01/04-C-4-1.mp3"
"lalu","名字","https://web.klokah.tw/ninew/sound/16/01/04-C-4-2.mp3"
"nya","他","https://web.klokah.tw/ninew/sound/16/01/04-C-4-3.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/04-C-4-4.mp3"
"Maray Lesa/Laysa","（人名）","https://web.klokah.tw/ninew/sound/16/01/04-C-4-5.mp3"
"isu ga mlikuy.","你是男生。","https://web.klokah.tw/ninew/sound/16/01/05-B-1.mp3"
"isu","你","https://web.klokah.tw/ninew/sound/16/01/05-C-1-1.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/05-C-1-2.mp3"
"mlikuy","男生","https://web.klokah.tw/ninew/sound/16/01/05-C-1-3.mp3"
"sami ga kneril.","我們是女生。","https://web.klokah.tw/ninew/sound/16/01/05-B-2.mp3"
"sami","我們","https://web.klokah.tw/ninew/sound/16/01/05-C-2-1.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/05-C-2-2.mp3"
"kneril","女生","https://web.klokah.tw/ninew/sound/16/01/05-C-2-3.mp3"
"Yayut ga mlikuy pi.","Yayut是男生嗎？","https://web.klokah.tw/ninew/sound/16/01/05-B-3.mp3"
"Yayut","（人名）","https://web.klokah.tw/ninew/sound/16/01/05-C-3-1.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/05-C-3-2.mp3"
"mlikuy","男生","https://web.klokah.tw/ninew/sound/16/01/05-C-3-3.mp3"
"pi","[虛]","https://web.klokah.tw/ninew/sound/16/01/05-C-3-4.mp3"
"iyat, hiya ga kneril.","不是，他是女生。","https://web.klokah.tw/ninew/sound/16/01/05-B-4.mp3"
"iyat","不是","https://web.klokah.tw/ninew/sound/16/01/05-C-4-1.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/16/01/05-C-4-2.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/05-C-4-3.mp3"
"kneril","女生","https://web.klokah.tw/ninew/sound/16/01/05-C-4-4.mp3"
"cyux qutux huzil maku.","我有一隻狗。","https://web.klokah.tw/ninew/sound/16/01/06-B-1.mp3"
"cyux","有；在","https://web.klokah.tw/ninew/sound/16/01/06-C-1-1.mp3"
"qutux","一","https://web.klokah.tw/ninew/sound/16/01/06-C-1-2.mp3"
"huzil","狗","https://web.klokah.tw/ninew/sound/16/01/06-C-1-3.mp3"
"maku","我；我的","https://web.klokah.tw/ninew/sound/16/01/06-C-1-4.mp3"
"huzil maku ga qalux.","我的狗是黑色的。","https://web.klokah.tw/ninew/sound/16/01/06-B-2.mp3"
"huzil","狗","https://web.klokah.tw/ninew/sound/16/01/06-C-2-1.mp3"
"maku","我；我的","https://web.klokah.tw/ninew/sound/16/01/06-C-2-2.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/16/01/06-C-2-3.mp3"
"qalux","黑色的","https://web.klokah.tw/ninew/sound/16/01/06-C-2-4.mp3"
