"Nga’ay ho, singsi?","你好嗎，老師？","https://web.klokah.tw/ninew/sound/25/01/01-B-1.mp3"
"Nga’ay","好","https://web.klokah.tw/ninew/sound/25/01/01-C-1-1.mp3"
"ho","還","https://web.klokah.tw/ninew/sound/25/01/01-C-1-2.mp3"
"singsi","老師","https://web.klokah.tw/ninew/sound/25/01/01-C-1-3.mp3"
"Mamaan aca, kiso hani?","很好，你呢？","https://web.klokah.tw/ninew/sound/25/01/01-B-2.mp3"
"Mamaan","怎麼","https://web.klokah.tw/ninew/sound/25/01/01-C-2-1.mp3"
"aca","僅僅","https://web.klokah.tw/ninew/sound/25/01/01-C-2-2.mp3"
"kiso","你，妳","https://web.klokah.tw/ninew/sound/25/01/01-C-2-3.mp3"
"hani","呢","https://web.klokah.tw/ninew/sound/25/01/01-C-2-4.mp3"
"Fangcal to!","很好！","https://web.klokah.tw/ninew/sound/25/01/01-B-3.mp3"
"Fangcal","好的","https://web.klokah.tw/ninew/sound/25/01/01-C-3-1.mp3"
"to","了","https://web.klokah.tw/ninew/sound/25/01/01-C-3-2.mp3"
"O mitiliday ho kiso?","你是學生嗎？","https://web.klokah.tw/ninew/sound/25/01/02-B-1.mp3"
"O","[名]","https://web.klokah.tw/ninew/sound/25/01/02-C-1-1.mp3"
"mitiliday","學生","https://web.klokah.tw/ninew/sound/25/01/02-C-1-2.mp3"
"ho","還","https://web.klokah.tw/ninew/sound/25/01/02-C-1-3.mp3"
"kiso","你，妳","https://web.klokah.tw/ninew/sound/25/01/02-C-1-4.mp3"
"Hai, o mitiliday ho kako.","是的，我是學生。","https://web.klokah.tw/ninew/sound/25/01/02-B-2.mp3"
"Hai","是的","https://web.klokah.tw/ninew/sound/25/01/02-C-2-1.mp3"
"o","[名]","https://web.klokah.tw/ninew/sound/25/01/02-C-2-2.mp3"
"mitiliday","學生","https://web.klokah.tw/ninew/sound/25/01/02-C-2-3.mp3"
"ho","還","https://web.klokah.tw/ninew/sound/25/01/02-C-2-4.mp3"
"kako","我","https://web.klokah.tw/ninew/sound/25/01/02-C-2-5.mp3"
"O mitiliday ho cingra?","他是學生嗎？","https://web.klokah.tw/ninew/sound/25/01/02-B-3.mp3"
"O","[名]","https://web.klokah.tw/ninew/sound/25/01/02-C-3-1.mp3"
"mitiliday","學生","https://web.klokah.tw/ninew/sound/25/01/02-C-3-2.mp3"
"ho","還","https://web.klokah.tw/ninew/sound/25/01/02-C-3-3.mp3"
"cingra","他，她","https://web.klokah.tw/ninew/sound/25/01/02-C-3-4.mp3"
"Caayay, o singsi cingra.","不是，他是老師。","https://web.klokah.tw/ninew/sound/25/01/02-B-4.mp3"
"Caayay","不是","https://web.klokah.tw/ninew/sound/25/01/02-C-4-1.mp3"
"o","[名]","https://web.klokah.tw/ninew/sound/25/01/02-C-4-2.mp3"
"singsi","老師","https://web.klokah.tw/ninew/sound/25/01/02-C-4-3.mp3"
"cingra","他，她","https://web.klokah.tw/ninew/sound/25/01/02-C-4-4.mp3"
"Katomireng!","請起立！","https://web.klokah.tw/ninew/sound/25/01/03-B-1.mp3"
"Katomireng","請起立","https://web.klokah.tw/ninew/sound/25/01/03-C-1-1.mp3"
"Mita’ong!","敬禮！","https://web.klokah.tw/ninew/sound/25/01/03-B-2.mp3"
"Mita’ong","敬禮","https://web.klokah.tw/ninew/sound/25/01/03-C-2-1.mp3"
"Kamaro’!","請坐下！","https://web.klokah.tw/ninew/sound/25/01/03-B-3.mp3"
"Kamaro’","請坐下","https://web.klokah.tw/ninew/sound/25/01/03-C-3-1.mp3"
"Cima kiso?","你是誰？","https://web.klokah.tw/ninew/sound/25/01/04-B-1.mp3"
"Cima","誰","https://web.klokah.tw/ninew/sound/25/01/04-C-1-1.mp3"
"kiso","你，妳","https://web.klokah.tw/ninew/sound/25/01/04-C-1-2.mp3"
"Ci Sawmah kako.","我是Sawmah。","https://web.klokah.tw/ninew/sound/25/01/04-B-2.mp3"
"Ci","[主]","https://web.klokah.tw/ninew/sound/25/01/04-C-2-1.mp3"
"Sawmah","（人名）","https://web.klokah.tw/ninew/sound/25/01/04-C-2-2.mp3"
"kako","我","https://web.klokah.tw/ninew/sound/25/01/04-C-2-3.mp3"
