"Kapah haw kisu, pasevana’ay?","你好嗎，老師？","https://web.klokah.tw/ninew/sound/24/01/01-B-1.mp3"
"Kapah","好","https://web.klokah.tw/ninew/sound/24/01/01-C-1-1.mp3"
"haw","[嗎]","https://web.klokah.tw/ninew/sound/24/01/01-C-1-2.mp3"
"kisu","你，妳","https://web.klokah.tw/ninew/sound/24/01/01-C-1-3.mp3"
"pasevana’ay","老師","https://web.klokah.tw/ninew/sound/24/01/01-C-1-4.mp3"
"Hay, kapah kaku. Kisu i?","是的，我很好。你呢？","https://web.klokah.tw/ninew/sound/24/01/01-B-2.mp3"
"Hay","是的","https://web.klokah.tw/ninew/sound/24/01/01-C-2-1.mp3"
"kapah","好","https://web.klokah.tw/ninew/sound/24/01/01-C-2-2.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/24/01/01-C-2-3.mp3"
"Kisu","你，妳","https://web.klokah.tw/ninew/sound/24/01/01-C-2-4.mp3"
"i","[介]","https://web.klokah.tw/ninew/sound/24/01/01-C-2-5.mp3"
"Kapah:tu kaku, aray.","我也很好，謝謝。","https://web.klokah.tw/ninew/sound/24/01/01-B-3.mp3"
"Kapah:tu","也好","https://web.klokah.tw/ninew/sound/24/01/01-C-3-1.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/24/01/01-C-3-2.mp3"
"aray","謝謝","https://web.klokah.tw/ninew/sound/24/01/01-C-3-3.mp3"
"U micudaday haw kisu?","你是學生嗎？","https://web.klokah.tw/ninew/sound/24/01/02-B-1.mp3"
"U","[虛]","https://web.klokah.tw/ninew/sound/24/01/02-C-1-1.mp3"
"micudaday","學生","https://web.klokah.tw/ninew/sound/24/01/02-C-1-2.mp3"
"haw","嗎","https://web.klokah.tw/ninew/sound/24/01/02-C-1-3.mp3"
"kisu","你，妳","https://web.klokah.tw/ninew/sound/24/01/02-C-1-4.mp3"
"Hay, u micudaday kaku.","是的，我是學生。","https://web.klokah.tw/ninew/sound/24/01/02-B-2.mp3"
"Hay","是的","https://web.klokah.tw/ninew/sound/24/01/02-C-2-1.mp3"
"u","[虛]","https://web.klokah.tw/ninew/sound/24/01/02-C-2-2.mp3"
"micudaday","學生","https://web.klokah.tw/ninew/sound/24/01/02-C-2-3.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/24/01/02-C-2-4.mp3"
"U micudaday haw cira?","他是學生嗎？","https://web.klokah.tw/ninew/sound/24/01/02-B-3.mp3"
