"maran kong.","叔叔（老師）好。","https://web.klokah.tw/ninew/sound/29/01/01-B-1.mp3"
"maran","叔叔","https://web.klokah.tw/ninew/sound/29/01/01-C-1-1.mp3"
"kong","好","https://web.klokah.tw/ninew/sound/29/01/01-C-1-2.mp3"
"kokay anak kong.","孩子你好。","https://web.klokah.tw/ninew/sound/29/01/01-B-2.mp3"
"kokay","（問候語）","https://web.klokah.tw/ninew/sound/29/01/01-C-2-1.mp3"
"anak","孩子","https://web.klokah.tw/ninew/sound/29/01/01-C-2-2.mp3"
"kong","好","https://web.klokah.tw/ninew/sound/29/01/01-C-2-3.mp3"
"kaminan kong.","阿姨（老師）好。","https://web.klokah.tw/ninew/sound/29/01/01-B-3.mp3"
"kaminan","阿姨","https://web.klokah.tw/ninew/sound/29/01/01-C-3-1.mp3"
"kong","好","https://web.klokah.tw/ninew/sound/29/01/01-C-3-2.mp3"
"kokay sira manganak kong.","各位孩子好。","https://web.klokah.tw/ninew/sound/29/01/01-B-4.mp3"
"kokay","（問候語）","https://web.klokah.tw/ninew/sound/29/01/01-C-4-1.mp3"
"sira","各位","https://web.klokah.tw/ninew/sound/29/01/01-C-4-2.mp3"
"manganak","孩子們","https://web.klokah.tw/ninew/sound/29/01/01-C-4-3.mp3"
"kong","好","https://web.klokah.tw/ninew/sound/29/01/01-C-4-4.mp3"
"ka pa meyvatvatek?","你還在唸書嗎？","https://web.klokah.tw/ninew/sound/29/01/02-B-1.mp3"
"ka","你","https://web.klokah.tw/ninew/sound/29/01/02-C-1-1.mp3"
"pa","[虛]","https://web.klokah.tw/ninew/sound/29/01/02-C-1-2.mp3"
"meyvatvatek","唸書","https://web.klokah.tw/ninew/sound/29/01/02-C-1-3.mp3"
"noon, ko pa meyvatvatek.","是的，我還在唸書。","https://web.klokah.tw/ninew/sound/29/01/02-B-2.mp3"
"noon","是的","https://web.klokah.tw/ninew/sound/29/01/02-C-2-1.mp3"
"ko","我","https://web.klokah.tw/ninew/sound/29/01/02-C-2-2.mp3"
"pa","[虛]","https://web.klokah.tw/ninew/sound/29/01/02-C-2-3.mp3"
"meyvatvatek","唸書","https://web.klokah.tw/ninew/sound/29/01/02-C-2-4.mp3"
"manngo iya ito?","那位呢？","https://web.klokah.tw/ninew/sound/29/01/02-B-3.mp3"
"manngo","如何","https://web.klokah.tw/ninew/sound/29/01/02-C-3-1.mp3"
"iya","他","https://web.klokah.tw/ninew/sound/29/01/02-C-3-2.mp3"
"ito","那","https://web.klokah.tw/ninew/sound/29/01/02-C-3-3.mp3"
"iya am mangananao.","那位是教書的。","https://web.klokah.tw/ninew/sound/29/01/02-B-4.mp3"
"iya","他","https://web.klokah.tw/ninew/sound/29/01/02-C-4-1.mp3"
"am","[虛]","https://web.klokah.tw/ninew/sound/29/01/02-C-4-2.mp3"
"mangananao","教導者","https://web.klokah.tw/ninew/sound/29/01/02-C-4-3.mp3"
"tomanek kamo.","你們請起立。","https://web.klokah.tw/ninew/sound/29/01/03-B-1.mp3"
"tomanek","站起","https://web.klokah.tw/ninew/sound/29/01/03-C-1-1.mp3"
"kamo","你們","https://web.klokah.tw/ninew/sound/29/01/03-C-1-2.mp3"
"pancian kamo.","你們來說。","https://web.klokah.tw/ninew/sound/29/01/03-B-2.mp3"
"pancian","說","https://web.klokah.tw/ninew/sound/29/01/03-C-2-1.mp3"
"kamo","你們","https://web.klokah.tw/ninew/sound/29/01/03-C-2-2.mp3"
"amizing kamo.","你們請聽。","https://web.klokah.tw/ninew/sound/29/01/03-B-3.mp3"
"amizing","聽","https://web.klokah.tw/ninew/sound/29/01/03-C-3-1.mp3"
