"nanguanguaq sun, sinsi?","老師，你好嗎？","https://web.klokah.tw/ninew/sound/10/01/01-B-1.mp3"
"nanguanguaq","好；平安","https://web.klokah.tw/ninew/sound/10/01/01-C-1-1.mp3"
"sun","你","https://web.klokah.tw/ninew/sound/10/01/01-C-1-2.mp3"
"sinsi","老師","https://web.klokah.tw/ninew/sound/10/01/01-C-1-3.mp3"
"ui, nanguanguaq a en, a tisun?","是。我很好，那你呢？","https://web.klokah.tw/ninew/sound/10/01/01-B-2.mp3"
"ui","是的","https://web.klokah.tw/ninew/sound/10/01/01-C-2-1.mp3"
"nanguanguaq","好；平安","https://web.klokah.tw/ninew/sound/10/01/01-C-2-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/10/01/01-C-2-3.mp3"
"en","我","https://web.klokah.tw/ninew/sound/10/01/01-C-2-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/10/01/01-C-2-5.mp3"
"tisun","你","https://web.klokah.tw/ninew/sound/10/01/01-C-2-6.mp3"
"nanguanguaq a en uta, masalu.","我很好，謝謝。","https://web.klokah.tw/ninew/sound/10/01/01-B-3.mp3"
"nanguanguaq","好；平安","https://web.klokah.tw/ninew/sound/10/01/01-C-3-1.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/10/01/01-C-3-2.mp3"
"en","我","https://web.klokah.tw/ninew/sound/10/01/01-C-3-3.mp3"
"uta","也","https://web.klokah.tw/ninew/sound/10/01/01-C-3-4.mp3"
"masalu","謝謝","https://web.klokah.tw/ninew/sound/10/01/01-C-3-5.mp3"
"situ sun?","你是學生嗎？","https://web.klokah.tw/ninew/sound/10/01/02-B-1.mp3"
"situ","學生","https://web.klokah.tw/ninew/sound/10/01/02-C-1-1.mp3"
"sun","你","https://web.klokah.tw/ninew/sound/10/01/02-C-1-2.mp3"
"ui, situ a en.","是的，我是學生。","https://web.klokah.tw/ninew/sound/10/01/02-B-2.mp3"
"ui","是的","https://web.klokah.tw/ninew/sound/10/01/02-C-2-1.mp3"
"situ","學生","https://web.klokah.tw/ninew/sound/10/01/02-C-2-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/10/01/02-C-2-3.mp3"
"en","我","https://web.klokah.tw/ninew/sound/10/01/02-C-2-4.mp3"
"situ uta timadju?","他也是學生嗎？","https://web.klokah.tw/ninew/sound/10/01/02-B-3.mp3"
"situ","學生","https://web.klokah.tw/ninew/sound/10/01/02-C-3-1.mp3"
"uta","也","https://web.klokah.tw/ninew/sound/10/01/02-C-3-2.mp3"
"timadju","他","https://web.klokah.tw/ninew/sound/10/01/02-C-3-3.mp3"
"ini, sinsi timadju.","不是，他是老師。","https://web.klokah.tw/ninew/sound/10/01/02-B-4.mp3"
"ini","不是","https://web.klokah.tw/ninew/sound/10/01/02-C-4-1.mp3"
"sinsi","老師","https://web.klokah.tw/ninew/sound/10/01/02-C-4-2.mp3"
