"Embiyax su hug?","你好嗎？","https://web.klokah.tw/ninew/sound/44/01/01-B-1.mp3"
"Embiyax","好","https://web.klokah.tw/ninew/sound/44/01/01-C-1-1.mp3"
"su","你","https://web.klokah.tw/ninew/sound/44/01/01-C-1-2.mp3"
"hug","嗎","https://web.klokah.tw/ninew/sound/44/01/01-C-1-3.mp3"
"Embiyax ku balay, embiyax su ka isu hug?","我很好，你呢。","https://web.klokah.tw/ninew/sound/44/01/01-B-2.mp3"
"Embiyax","好","https://web.klokah.tw/ninew/sound/44/01/01-C-2-1.mp3"
"ku","我","https://web.klokah.tw/ninew/sound/44/01/01-C-2-2.mp3"
"balay","很，非常","https://web.klokah.tw/ninew/sound/44/01/01-C-2-3.mp3"
"embiyax","好","https://web.klokah.tw/ninew/sound/44/01/01-C-2-4.mp3"
"su","你","https://web.klokah.tw/ninew/sound/44/01/01-C-2-5.mp3"
"ka","[主]","https://web.klokah.tw/ninew/sound/44/01/01-C-2-6.mp3"
"isu","你","https://web.klokah.tw/ninew/sound/44/01/01-C-2-7.mp3"
"hug","呢","https://web.klokah.tw/ninew/sound/44/01/01-C-2-8.mp3"
"Embiyax ku balay uri.","我也很好。","https://web.klokah.tw/ninew/sound/44/01/01-B-3.mp3"
"Embiyax","好","https://web.klokah.tw/ninew/sound/44/01/01-C-3-1.mp3"
"ku","我","https://web.klokah.tw/ninew/sound/44/01/01-C-3-2.mp3"
"balay","很，非常","https://web.klokah.tw/ninew/sound/44/01/01-C-3-3.mp3"
"uri","也","https://web.klokah.tw/ninew/sound/44/01/01-C-3-4.mp3"
"Ima su ka isu hug?","請問你是誰？","https://web.klokah.tw/ninew/sound/44/01/02-B-1.mp3"
"Ima","誰","https://web.klokah.tw/ninew/sound/44/01/02-C-1-1.mp3"
"su","你","https://web.klokah.tw/ninew/sound/44/01/02-C-1-2.mp3"
"ka","[主]","https://web.klokah.tw/ninew/sound/44/01/02-C-1-3.mp3"
"isu","你","https://web.klokah.tw/ninew/sound/44/01/02-C-1-4.mp3"
"hug","呢","https://web.klokah.tw/ninew/sound/44/01/02-C-1-5.mp3"
"Laqi matas ka yaku.","我是學生。","https://web.klokah.tw/ninew/sound/44/01/02-B-2.mp3"
"Laqi matas","學生","https://web.klokah.tw/ninew/sound/44/01/02-C-2-1.mp3"
"ka","是","https://web.klokah.tw/ninew/sound/44/01/02-C-2-2.mp3"
"yaku","我","https://web.klokah.tw/ninew/sound/44/01/02-C-2-3.mp3"
"Ima ka hiya?","他是誰？","https://web.klokah.tw/ninew/sound/44/01/02-B-3.mp3"
"Ima","誰","https://web.klokah.tw/ninew/sound/44/01/02-C-3-1.mp3"
"ka","[主]","https://web.klokah.tw/ninew/sound/44/01/02-C-3-2.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/44/01/02-C-3-3.mp3"
"Mtgsa ka hiya.","他是老師。","https://web.klokah.tw/ninew/sound/44/01/02-B-4.mp3"
"Mtgsa","老師","https://web.klokah.tw/ninew/sound/44/01/02-C-4-1.mp3"
"ka","[主]","https://web.klokah.tw/ninew/sound/44/01/02-C-4-2.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/44/01/02-C-4-3.mp3"
"Aji mtgsa ka hiya.","他不是老師。","https://web.klokah.tw/ninew/sound/44/01/02-B-5.mp3"
"Aji","不是","https://web.klokah.tw/ninew/sound/44/01/02-C-5-1.mp3"
"mtgsa","老師","https://web.klokah.tw/ninew/sound/44/01/02-C-5-2.mp3"
"ka","[主]","https://web.klokah.tw/ninew/sound/44/01/02-C-5-3.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/44/01/02-C-5-4.mp3"
"Hiyug hug!","請起立！","https://web.klokah.tw/ninew/sound/44/01/03-B-1.mp3"
"Hiyug","起立，站立","https://web.klokah.tw/ninew/sound/44/01/03-C-1-1.mp3"
"hug","嗎","https://web.klokah.tw/ninew/sound/44/01/03-C-1-2.mp3"
"Rngaw binaw!","說說看！","https://web.klokah.tw/ninew/sound/44/01/03-B-2.mp3"
"Rngaw","說","https://web.klokah.tw/ninew/sound/44/01/03-C-2-1.mp3"
"binaw","試看看","https://web.klokah.tw/ninew/sound/44/01/03-C-2-2.mp3"
"Qbahang binaw!","聽聽看！","https://web.klokah.tw/ninew/sound/44/01/03-B-3.mp3"
"Qbahang","聽","https://web.klokah.tw/ninew/sound/44/01/03-C-3-1.mp3"
"binaw","試看看","https://web.klokah.tw/ninew/sound/44/01/03-C-3-2.mp3"
"Tluung!","坐下！","https://web.klokah.tw/ninew/sound/44/01/03-B-4.mp3"
"Tluung","坐下","https://web.klokah.tw/ninew/sound/44/01/03-C-4-1.mp3"
"Ima su ka isu hug?","請問你是誰？","https://web.klokah.tw/ninew/sound/44/01/04-B-1.mp3"
"Ima","誰","https://web.klokah.tw/ninew/sound/44/01/04-C-1-1.mp3"
"su","你的","https://web.klokah.tw/ninew/sound/44/01/04-C-1-2.mp3"
"ka","[主]","https://web.klokah.tw/ninew/sound/44/01/04-C-1-3.mp3"
"isu","你","https://web.klokah.tw/ninew/sound/44/01/04-C-1-4.mp3"
"hug","呢","https://web.klokah.tw/ninew/sound/44/01/04-C-1-5.mp3"
"Yaku o Bowxil ku Ciyu.","我叫 Bowxil Ciyu。","https://web.klokah.tw/ninew/sound/44/01/04-B-2.mp3"
"Yaku","我","https://web.klokah.tw/ninew/sound/44/01/04-C-2-1.mp3"
"o","[介]","https://web.klokah.tw/ninew/sound/44/01/04-C-2-2.mp3"
"Bowxil","（男子名）","https://web.klokah.tw/ninew/sound/44/01/04-C-2-3.mp3"
"ku","我","https://web.klokah.tw/ninew/sound/44/01/04-C-2-4.mp3"
"Ciyu","（男子名）","https://web.klokah.tw/ninew/sound/44/01/04-C-2-5.mp3"
"Watan Umin ka hangan na.","他的名字是 Watan Umin。","https://web.klokah.tw/ninew/sound/44/01/04-B-3.mp3"
"Watan Umin","（男子名）","https://web.klokah.tw/ninew/sound/44/01/04-C-3-1.mp3"
"ka","[主]","https://web.klokah.tw/ninew/sound/44/01/04-C-3-2.mp3"
"hangan","名字","https://web.klokah.tw/ninew/sound/44/01/04-C-3-3.mp3"
"na","[屬]","https://web.klokah.tw/ninew/sound/44/01/04-C-3-4.mp3"
"Aji, hangan na o Yakaw Piling.","不是，他的名字是 Yakaw Piling。","https://web.klokah.tw/ninew/sound/44/01/04-B-4.mp3"
"Aji","不是","https://web.klokah.tw/ninew/sound/44/01/04-C-4-1.mp3"
