"lokah su ga, sesiy psbaq biru?","老師，你好嗎？","https://web.klokah.tw/ninew/sound/43/01/01-B-1.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/43/01/01-C-1-1.mp3"
"su","你","https://web.klokah.tw/ninew/sound/43/01/01-C-1-2.mp3"
"ga","[疑問詞]","https://web.klokah.tw/ninew/sound/43/01/01-C-1-3.mp3"
"sesiy","老師","https://web.klokah.tw/ninew/sound/43/01/01-C-1-4.mp3"
"psbaq","教導","https://web.klokah.tw/ninew/sound/43/01/01-C-1-5.mp3"
"biru","書本","https://web.klokah.tw/ninew/sound/43/01/01-C-1-6.mp3"
"lokah cu.","我很好。","https://web.klokah.tw/ninew/sound/43/01/01-B-2.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/43/01/01-C-2-1.mp3"
"cu","我","https://web.klokah.tw/ninew/sound/43/01/01-C-2-2.mp3"
"lokah su uyi ga?","你也好嗎？","https://web.klokah.tw/ninew/sound/43/01/01-B-3.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/43/01/01-C-3-1.mp3"
"su","你","https://web.klokah.tw/ninew/sound/43/01/01-C-3-2.mp3"
"uyi","也","https://web.klokah.tw/ninew/sound/43/01/01-C-3-3.mp3"
"ga","嗎","https://web.klokah.tw/ninew/sound/43/01/01-C-3-4.mp3"
"lokah cu uyi, mhuway su calay!","我也好，真是謝謝你！","https://web.klokah.tw/ninew/sound/43/01/01-B-4.mp3"
"lokah","好","https://web.klokah.tw/ninew/sound/43/01/01-C-4-1.mp3"
"cu","我","https://web.klokah.tw/ninew/sound/43/01/01-C-4-2.mp3"
"uyi","也","https://web.klokah.tw/ninew/sound/43/01/01-C-4-3.mp3"
"mhuway","謝謝","https://web.klokah.tw/ninew/sound/43/01/01-C-4-4.mp3"
"su","你","https://web.klokah.tw/ninew/sound/43/01/01-C-4-5.mp3"
"calay","真是","https://web.klokah.tw/ninew/sound/43/01/01-C-4-6.mp3"
"isu ga ppqwas biru?","你是學生嗎？","https://web.klokah.tw/ninew/sound/43/01/02-B-1.mp3"
"isu","你","https://web.klokah.tw/ninew/sound/43/01/02-C-1-1.mp3"
"ga","是","https://web.klokah.tw/ninew/sound/43/01/02-C-1-2.mp3"
"ppqwas","讀書者","https://web.klokah.tw/ninew/sound/43/01/02-C-1-3.mp3"
"biru","書本","https://web.klokah.tw/ninew/sound/43/01/02-C-1-4.mp3"
"uya, kingan ga ppqwas biru.","是的，我是學生。","https://web.klokah.tw/ninew/sound/43/01/02-B-2.mp3"
"uya","是的","https://web.klokah.tw/ninew/sound/43/01/02-C-2-1.mp3"
"kingan","我","https://web.klokah.tw/ninew/sound/43/01/02-C-2-2.mp3"
"ga","是","https://web.klokah.tw/ninew/sound/43/01/02-C-2-3.mp3"
"ppqwas","讀書者","https://web.klokah.tw/ninew/sound/43/01/02-C-2-4.mp3"
"biru","書本","https://web.klokah.tw/ninew/sound/43/01/02-C-2-5.mp3"
"hiya ga ppqwas biru uyi?","他也是學生嗎？","https://web.klokah.tw/ninew/sound/43/01/02-B-3.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/43/01/02-C-3-1.mp3"
"ga","是","https://web.klokah.tw/ninew/sound/43/01/02-C-3-2.mp3"
"ppqwas","讀書者","https://web.klokah.tw/ninew/sound/43/01/02-C-3-3.mp3"
"biru","書本","https://web.klokah.tw/ninew/sound/43/01/02-C-3-4.mp3"
"uyi","也是","https://web.klokah.tw/ninew/sound/43/01/02-C-3-5.mp3"
"iyat, hiya ga sesiy psbaq biru.","不是，他是老師。","https://web.klokah.tw/ninew/sound/43/01/02-B-4.mp3"
"iyat","不是","https://web.klokah.tw/ninew/sound/43/01/02-C-4-1.mp3"
"hiya","他","https://web.klokah.tw/ninew/sound/43/01/02-C-4-2.mp3"
"ga","是","https://web.klokah.tw/ninew/sound/43/01/02-C-4-3.mp3"
"sesiy psbaq","老師","https://web.klokah.tw/ninew/sound/43/01/02-C-4-4.mp3"
"biru","書","https://web.klokah.tw/ninew/sound/43/01/02-C-4-5.mp3"
"ttuliq cikay!","請起立！","https://web.klokah.tw/ninew/sound/43/01/03-B-1.mp3"
"ttuliq","起立","https://web.klokah.tw/ninew/sound/43/01/03-C-1-1.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/43/01/03-C-1-2.mp3"
"tlamiy cikay kmayal.","嘗試說一下（請說說看）。","https://web.klokah.tw/ninew/sound/43/01/03-B-2.mp3"
"tlamiy","嘗試","https://web.klokah.tw/ninew/sound/43/01/03-C-2-1.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/43/01/03-C-2-2.mp3"
"kmayal","說，講","https://web.klokah.tw/ninew/sound/43/01/03-C-2-3.mp3"
"tlamiy cikay mung.","嘗試聽一下（請聽聽看）。","https://web.klokah.tw/ninew/sound/43/01/03-B-3.mp3"
"tlamiy","嘗試","https://web.klokah.tw/ninew/sound/43/01/03-C-3-1.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/43/01/03-C-3-2.mp3"
"mung","聽","https://web.klokah.tw/ninew/sound/43/01/03-C-3-3.mp3"
"ttama!","請坐！","https://web.klokah.tw/ninew/sound/43/01/03-B-4.mp3"
"ttama","坐下","https://web.klokah.tw/ninew/sound/43/01/03-C-4-1.mp3"
"pqutay misu cikay ha, ima lalu su?","請問你叫什麼名字？","https://web.klokah.tw/ninew/sound/43/01/04-B-1.mp3"
"pqutay","請問","https://web.klokah.tw/ninew/sound/43/01/04-C-1-1.mp3"
"misu","你","https://web.klokah.tw/ninew/sound/43/01/04-C-1-2.mp3"
"cikay","一下","https://web.klokah.tw/ninew/sound/43/01/04-C-1-3.mp3"
"ha","喔","https://web.klokah.tw/ninew/sound/43/01/04-C-1-4.mp3"
"ima","誰","https://web.klokah.tw/ninew/sound/43/01/04-C-1-5.mp3"
"lalu","名字","https://web.klokah.tw/ninew/sound/43/01/04-C-1-6.mp3"
"su","你","https://web.klokah.tw/ninew/sound/43/01/04-C-1-7.mp3"
"Yukan Pasang lalu mu.","我是Yukan Pasang。","https://web.klokah.tw/ninew/sound/43/01/04-B-2.mp3"
"Yukan Pasang","（人名）","https://web.klokah.tw/ninew/sound/43/01/04-C-2-1.mp3"
"lalu","名字","https://web.klokah.tw/ninew/sound/43/01/04-C-2-2.mp3"
"mu","我的","https://web.klokah.tw/ninew/sound/43/01/04-C-2-3.mp3"
"Yumin Hayung lalu nya?","他的名字叫Yumin Hayung嗎？","https://web.klokah.tw/ninew/sound/43/01/04-B-3.mp3"
"Yumin Hayung","（人名）","https://web.klokah.tw/ninew/sound/43/01/04-C-3-1.mp3"
"lalu","名字","https://web.klokah.tw/ninew/sound/43/01/04-C-3-2.mp3"
"nya","他的","https://web.klokah.tw/ninew/sound/43/01/04-C-3-3.mp3"
"iyat, lalu nya ga Maray Lesa.","不是，他叫做Maray Lesa。","https://web.klokah.tw/ninew/sound/43/01/04-B-4.mp3"
