"sinsi’, ya su’ ramas?","老師，你好嗎？","https://web.klokah.tw/ninew/sound/19/01/01-B-1.mp3"
"sinsi’","老師","https://web.klokah.tw/ninew/sound/19/01/01-C-1-1.mp3"
"ya","[虛]","https://web.klokah.tw/ninew/sound/19/01/01-C-1-2.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/19/01/01-C-1-3.mp3"
"ramas","好","https://web.klokah.tw/ninew/sound/19/01/01-C-1-4.mp3"
"ramas cu, isu’ ga?","我很好，你呢？","https://web.klokah.tw/ninew/sound/19/01/01-B-2.mp3"
"ramas","好","https://web.klokah.tw/ninew/sound/19/01/01-C-2-1.mp3"
"cu","我","https://web.klokah.tw/ninew/sound/19/01/01-C-2-2.mp3"
"isu’","你","https://web.klokah.tw/ninew/sound/19/01/01-C-2-3.mp3"
"ga","[助]","https://web.klokah.tw/ninew/sound/19/01/01-C-2-4.mp3"
"ramas cu uṟi, bahbah su’ caṟung.","我也很好，謝謝。","https://web.klokah.tw/ninew/sound/19/01/01-B-3.mp3"
"ramas","好","https://web.klokah.tw/ninew/sound/19/01/01-C-3-1.mp3"
"cu","我","https://web.klokah.tw/ninew/sound/19/01/01-C-3-2.mp3"
"uṟi","也，也是","https://web.klokah.tw/ninew/sound/19/01/01-C-3-3.mp3"
"bahbah","謝謝；慷慨","https://web.klokah.tw/ninew/sound/19/01/01-C-3-4.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/19/01/01-C-3-5.mp3"
"caṟung","非常；真的","https://web.klokah.tw/ninew/sound/19/01/01-C-3-6.mp3"
"seyto’ su’ uṟi?","你也是學生嗎？","https://web.klokah.tw/ninew/sound/19/01/02-B-1.mp3"
"seyto’","學生","https://web.klokah.tw/ninew/sound/19/01/02-C-1-1.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/19/01/02-C-1-2.mp3"
"uṟi","也，也是","https://web.klokah.tw/ninew/sound/19/01/02-C-1-3.mp3"
"ho’, seyto’ cu kung.","是的，我是學生。","https://web.klokah.tw/ninew/sound/19/01/02-B-2.mp3"
"ho’","是","https://web.klokah.tw/ninew/sound/19/01/02-C-2-1.mp3"
"seyto’","學生","https://web.klokah.tw/ninew/sound/19/01/02-C-2-2.mp3"
"cu","我","https://web.klokah.tw/ninew/sound/19/01/02-C-2-3.mp3"
"kung","我","https://web.klokah.tw/ninew/sound/19/01/02-C-2-4.mp3"
"seyto’ hiya’ uṟi?","他也是學生嗎？","https://web.klokah.tw/ninew/sound/19/01/02-B-3.mp3"
"seyto’","學生","https://web.klokah.tw/ninew/sound/19/01/02-C-3-1.mp3"
"hiya’","他，她","https://web.klokah.tw/ninew/sound/19/01/02-C-3-2.mp3"
"uṟi","也，也是","https://web.klokah.tw/ninew/sound/19/01/02-C-3-3.mp3"
"aṟat, sinsi’ hiya’.","不是，他是老師。","https://web.klokah.tw/ninew/sound/19/01/02-B-4.mp3"
"aṟat","不是","https://web.klokah.tw/ninew/sound/19/01/02-C-4-1.mp3"
"sinsi’","老師","https://web.klokah.tw/ninew/sound/19/01/02-C-4-2.mp3"
"hiya’","他","https://web.klokah.tw/ninew/sound/19/01/02-C-4-3.mp3"
"tatuli’.","請起立。","https://web.klokah.tw/ninew/sound/19/01/03-B-1.mp3"
"tatuli’","請起立","https://web.klokah.tw/ninew/sound/19/01/03-C-1-1.mp3"
"talang kumaṟal.","請說（說說看）。","https://web.klokah.tw/ninew/sound/19/01/03-B-2.mp3"
"talang","試著","https://web.klokah.tw/ninew/sound/19/01/03-C-2-1.mp3"
"kumaṟal","說","https://web.klokah.tw/ninew/sound/19/01/03-C-2-2.mp3"
"talami manapung.","請聽（聽聽看）。","https://web.klokah.tw/ninew/sound/19/01/03-B-3.mp3"
"talami","嘗試","https://web.klokah.tw/ninew/sound/19/01/03-C-3-1.mp3"
"manapung","聽","https://web.klokah.tw/ninew/sound/19/01/03-C-3-2.mp3"
"tatama’.","請坐下。","https://web.klokah.tw/ninew/sound/19/01/03-B-4.mp3"
"tatama’","請坐下","https://web.klokah.tw/ninew/sound/19/01/03-C-4-1.mp3"
"ima’ si su’?","你是誰？","https://web.klokah.tw/ninew/sound/19/01/04-B-1.mp3"
"ima’","誰","https://web.klokah.tw/ninew/sound/19/01/04-C-1-1.mp3"
"si","[虛]","https://web.klokah.tw/ninew/sound/19/01/04-C-1-2.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/19/01/04-C-1-3.mp3"
"Temu ralu’ mukung.","我是Temu。","https://web.klokah.tw/ninew/sound/19/01/04-B-2.mp3"
"Temu","（男子名）","https://web.klokah.tw/ninew/sound/19/01/04-C-2-1.mp3"
"ralu’","名字","https://web.klokah.tw/ninew/sound/19/01/04-C-2-2.mp3"
"mukung","我說","https://web.klokah.tw/ninew/sound/19/01/04-C-2-3.mp3"
"Walis ralu’ ni hiya’?","他的名字是Walis嗎？","https://web.klokah.tw/ninew/sound/19/01/04-B-3.mp3"
"Walis","（男子名）","https://web.klokah.tw/ninew/sound/19/01/04-C-3-1.mp3"
"ralu’","名字","https://web.klokah.tw/ninew/sound/19/01/04-C-3-2.mp3"
"ni","[虛]","https://web.klokah.tw/ninew/sound/19/01/04-C-3-3.mp3"
