"mahica tu! kapah haw kisu? saydan!","怎麼樣了（招呼語）！ 您好嗎？老師！","https://web.klokah.tw/ninew/sound/38/01/01-B-1.mp3"
"mahica","怎麼樣","https://web.klokah.tw/ninew/sound/38/01/01-C-1-1.mp3"
"tu","[虛]","https://web.klokah.tw/ninew/sound/38/01/01-C-1-2.mp3"
"kapah","好","https://web.klokah.tw/ninew/sound/38/01/01-C-1-3.mp3"
"haw","[疑問語]","https://web.klokah.tw/ninew/sound/38/01/01-C-1-4.mp3"
"kisu","你","https://web.klokah.tw/ninew/sound/38/01/01-C-1-5.mp3"
"saydan","老師","https://web.klokah.tw/ninew/sound/38/01/01-C-1-6.mp3"
"amahica! kapah kaku, kisu i?","沒事啊！我很好，你好嗎？","https://web.klokah.tw/ninew/sound/38/01/01-B-2.mp3"
"amahica","沒事","https://web.klokah.tw/ninew/sound/38/01/01-C-2-1.mp3"
"kapah","好","https://web.klokah.tw/ninew/sound/38/01/01-C-2-2.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/38/01/01-C-2-3.mp3"
"kisu","你","https://web.klokah.tw/ninew/sound/38/01/01-C-2-4.mp3"
"i","[虛]","https://web.klokah.tw/ninew/sound/38/01/01-C-2-5.mp3"
"kukay, cayay tu kahica kaku, kapah tu kaku.","謝謝，我也沒事，我很好。","https://web.klokah.tw/ninew/sound/38/01/01-B-3.mp3"
"kukay","謝謝","https://web.klokah.tw/ninew/sound/38/01/01-C-3-1.mp3"
"cayay","沒有","https://web.klokah.tw/ninew/sound/38/01/01-C-3-2.mp3"
"tu","也","https://web.klokah.tw/ninew/sound/38/01/01-C-3-3.mp3"
"kahica","怎麼樣","https://web.klokah.tw/ninew/sound/38/01/01-C-3-4.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/38/01/01-C-3-5.mp3"
"kapah","好","https://web.klokah.tw/ninew/sound/38/01/01-C-3-6.mp3"
"tu","[虛]","https://web.klokah.tw/ninew/sound/38/01/01-C-3-7.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/38/01/01-C-3-8.mp3"
"micudaday kisu haw?","你是學生嗎？","https://web.klokah.tw/ninew/sound/38/01/02-B-1.mp3"
"micudaday","學生","https://web.klokah.tw/ninew/sound/38/01/02-C-1-1.mp3"
"kisu","你","https://web.klokah.tw/ninew/sound/38/01/02-C-1-2.mp3"
"haw","[虛]","https://web.klokah.tw/ninew/sound/38/01/02-C-1-3.mp3"
"hang, micudaday kaku.","是的，我是學生。","https://web.klokah.tw/ninew/sound/38/01/02-B-2.mp3"
"hang","是的","https://web.klokah.tw/ninew/sound/38/01/02-C-2-1.mp3"
"micudaday","學生","https://web.klokah.tw/ninew/sound/38/01/02-C-2-2.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/38/01/02-C-2-3.mp3"
"ciniza sa u micudaday tu haw?","他也是學生嗎？","https://web.klokah.tw/ninew/sound/38/01/02-B-3.mp3"
"ciniza","他","https://web.klokah.tw/ninew/sound/38/01/02-C-3-1.mp3"
"sa","[虛]","https://web.klokah.tw/ninew/sound/38/01/02-C-3-2.mp3"
"u","[虛]","https://web.klokah.tw/ninew/sound/38/01/02-C-3-3.mp3"
"micudaday","學生","https://web.klokah.tw/ninew/sound/38/01/02-C-3-4.mp3"
"tu","[虛]","https://web.klokah.tw/ninew/sound/38/01/02-C-3-5.mp3"
"haw","[虛]","https://web.klokah.tw/ninew/sound/38/01/02-C-3-6.mp3"
"cayay, u saydan ciniza.","不是，他是老師。","https://web.klokah.tw/ninew/sound/38/01/02-B-4.mp3"
"cayay","不是","https://web.klokah.tw/ninew/sound/38/01/02-C-4-1.mp3"
"u","[虛]","https://web.klokah.tw/ninew/sound/38/01/02-C-4-2.mp3"
"saydan","老師","https://web.klokah.tw/ninew/sound/38/01/02-C-4-3.mp3"
"ciniza","他","https://web.klokah.tw/ninew/sound/38/01/02-C-4-4.mp3"
"na, tizenga.","請起立。","https://web.klokah.tw/ninew/sound/38/01/03-B-1.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/38/01/03-C-1-1.mp3"
"tizenga","起立","https://web.klokah.tw/ninew/sound/38/01/03-C-1-2.mp3"
"na, sakamuwa.","請說說看。","https://web.klokah.tw/ninew/sound/38/01/03-B-2.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/38/01/03-C-2-1.mp3"
"sakamuwa","說","https://web.klokah.tw/ninew/sound/38/01/03-C-2-2.mp3"
"na, tengilen.","請聽聽看。","https://web.klokah.tw/ninew/sound/38/01/03-B-3.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/38/01/03-C-3-1.mp3"
"tengilen","聽","https://web.klokah.tw/ninew/sound/38/01/03-C-3-2.mp3"
"na, enenga.","請坐下。","https://web.klokah.tw/ninew/sound/38/01/03-B-4.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/38/01/03-C-4-1.mp3"
"enenga","坐下","https://web.klokah.tw/ninew/sound/38/01/03-C-4-2.mp3"
"cima kisu?","你是誰？","https://web.klokah.tw/ninew/sound/38/01/04-B-1.mp3"
"cima","誰","https://web.klokah.tw/ninew/sound/38/01/04-C-1-1.mp3"
"kisu","你","https://web.klokah.tw/ninew/sound/38/01/04-C-1-2.mp3"
"ci Batu kaku.","我是Batu。","https://web.klokah.tw/ninew/sound/38/01/04-B-2.mp3"
"ci","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-2-1.mp3"
"Batu","（人名）","https://web.klokah.tw/ninew/sound/38/01/04-C-2-2.mp3"
"kaku","我","https://web.klokah.tw/ninew/sound/38/01/04-C-2-3.mp3"
"ci Taymu ku ngangan niza haw?","他的名字是Taymu嗎？","https://web.klokah.tw/ninew/sound/38/01/04-B-3.mp3"
"ci","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-3-1.mp3"
"Taymu","（人名）","https://web.klokah.tw/ninew/sound/38/01/04-C-3-2.mp3"
"ku","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-3-3.mp3"
"ngangan","名字","https://web.klokah.tw/ninew/sound/38/01/04-C-3-4.mp3"
"niza","他","https://web.klokah.tw/ninew/sound/38/01/04-C-3-5.mp3"
"haw","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-3-6.mp3"
"cuwa, cayay ka ci Taymu, ci Bakah ku ngangan niza.","不，他不是Taymu，他的名字是Bakah。","https://web.klokah.tw/ninew/sound/38/01/04-B-4.mp3"
"cuwa","不","https://web.klokah.tw/ninew/sound/38/01/04-C-4-1.mp3"
"cayay","不是","https://web.klokah.tw/ninew/sound/38/01/04-C-4-2.mp3"
"ka","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-4-3.mp3"
"ci","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-4-4.mp3"
"Taymu","（人名）","https://web.klokah.tw/ninew/sound/38/01/04-C-4-5.mp3"
"ci","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-4-6.mp3"
"Bakah","（人名）","https://web.klokah.tw/ninew/sound/38/01/04-C-4-7.mp3"
"ku","[虛]","https://web.klokah.tw/ninew/sound/38/01/04-C-4-8.mp3"
"ngangan","名字","https://web.klokah.tw/ninew/sound/38/01/04-C-4-9.mp3"
"niza","他","https://web.klokah.tw/ninew/sound/38/01/04-C-4-10.mp3"
