"papasibaq lawkah su’ quw?","老師，你好嗎？","https://web.klokah.tw/ninew/sound/18/01/01-B-1.mp3"
"papasibaq","老師","https://web.klokah.tw/ninew/sound/18/01/01-C-1-1.mp3"
"lawkah","好","https://web.klokah.tw/ninew/sound/18/01/01-C-1-2.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/18/01/01-C-1-3.mp3"
"quw","嗎","https://web.klokah.tw/ninew/sound/18/01/01-C-1-4.mp3"
"lawkah cu, mahuway su’.","我很好，謝謝你。","https://web.klokah.tw/ninew/sound/18/01/01-B-2.mp3"
"lawkah","好","https://web.klokah.tw/ninew/sound/18/01/01-C-2-1.mp3"
"cu","我","https://web.klokah.tw/ninew/sound/18/01/01-C-2-2.mp3"
"mahuway","謝謝","https://web.klokah.tw/ninew/sound/18/01/01-C-2-3.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/18/01/01-C-2-4.mp3"
"humicuwa’ su’ na isu’?","那你呢？","https://web.klokah.tw/ninew/sound/18/01/01-B-3.mp3"
"humicuwa’","如何","https://web.klokah.tw/ninew/sound/18/01/01-C-3-1.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/18/01/01-C-3-2.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/18/01/01-C-3-3.mp3"
"isu’","你（獨立式）","https://web.klokah.tw/ninew/sound/18/01/01-C-3-4.mp3"
"lawkah cu uwiy, mahuway su’.","我也很好，謝謝你。","https://web.klokah.tw/ninew/sound/18/01/01-B-4.mp3"
"lawkah","好","https://web.klokah.tw/ninew/sound/18/01/01-C-4-1.mp3"
"cu","我","https://web.klokah.tw/ninew/sound/18/01/01-C-4-2.mp3"
"uwiy","也","https://web.klokah.tw/ninew/sound/18/01/01-C-4-3.mp3"
"mahuway","謝謝","https://web.klokah.tw/ninew/sound/18/01/01-C-4-4.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/18/01/01-C-4-5.mp3"
"matiq su’ na quw?","你是學生嗎？","https://web.klokah.tw/ninew/sound/18/01/02-B-1.mp3"
"matiq","學生","https://web.klokah.tw/ninew/sound/18/01/02-C-1-1.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/18/01/02-C-1-2.mp3"
"na","仍然","https://web.klokah.tw/ninew/sound/18/01/02-C-1-3.mp3"
"quw","嗎","https://web.klokah.tw/ninew/sound/18/01/02-C-1-4.mp3"
"uwal ga, matiq kuwing na.","是呀，我是學生。","https://web.klokah.tw/ninew/sound/18/01/02-B-2.mp3"
"uwal","是的","https://web.klokah.tw/ninew/sound/18/01/02-C-2-1.mp3"
"ga","[虛]","https://web.klokah.tw/ninew/sound/18/01/02-C-2-2.mp3"
"matiq","學生","https://web.klokah.tw/ninew/sound/18/01/02-C-2-3.mp3"
"kuwing","我","https://web.klokah.tw/ninew/sound/18/01/02-C-2-4.mp3"
"na","仍然","https://web.klokah.tw/ninew/sound/18/01/02-C-2-5.mp3"
"Yawi’, matiq su’ na uwiy quw?","Yawi’，你也是學生嗎？","https://web.klokah.tw/ninew/sound/18/01/02-B-3.mp3"
"Yawi’","（男子名）","https://web.klokah.tw/ninew/sound/18/01/02-C-3-1.mp3"
"matiq","學生","https://web.klokah.tw/ninew/sound/18/01/02-C-3-2.mp3"
"su’","你","https://web.klokah.tw/ninew/sound/18/01/02-C-3-3.mp3"
"na","仍然","https://web.klokah.tw/ninew/sound/18/01/02-C-3-4.mp3"
