"So’o kayzaeh ay?","你好嗎？","https://web.klokah.tw/ninew/sound/28/01/01-B-1.mp3"
"So’o","你","https://web.klokah.tw/ninew/sound/28/01/01-C-1-1.mp3"
"kayzaeh","好；可以","https://web.klokah.tw/ninew/sound/28/01/01-C-1-2.mp3"
"ay","嗎","https://web.klokah.tw/ninew/sound/28/01/01-C-1-3.mp3"
"ya:o kayzaeh.","我很好。","https://web.klokah.tw/ninew/sound/28/01/01-B-2.mp3"
"ya:o","我","https://web.klokah.tw/ninew/sound/28/01/01-C-2-1.mp3"
"kayzaeh","好","https://web.klokah.tw/ninew/sound/28/01/01-C-2-2.mp3"
"So’o ma’ kayzaeh ay?","你也好嗎？","https://web.klokah.tw/ninew/sound/28/01/01-B-3.mp3"
"So’o","你","https://web.klokah.tw/ninew/sound/28/01/01-C-3-1.mp3"
"ma’","也","https://web.klokah.tw/ninew/sound/28/01/01-C-3-2.mp3"
"kayzaeh","好","https://web.klokah.tw/ninew/sound/28/01/01-C-3-3.mp3"
"ay","嗎","https://web.klokah.tw/ninew/sound/28/01/01-C-3-4.mp3"
"ya:o ma’ kayzaeh, ma’alo’!","我也很好，謝謝！","https://web.klokah.tw/ninew/sound/28/01/01-B-4.mp3"
"ya:o","我","https://web.klokah.tw/ninew/sound/28/01/01-C-4-1.mp3"
"ma’","也","https://web.klokah.tw/ninew/sound/28/01/01-C-4-2.mp3"
"kayzaeh","好","https://web.klokah.tw/ninew/sound/28/01/01-C-4-3.mp3"
"ma’alo’","謝謝","https://web.klokah.tw/ninew/sound/28/01/01-C-4-4.mp3"
"So’o kamakiSka:at ay?","你是學生嗎？","https://web.klokah.tw/ninew/sound/28/01/02-B-1.mp3"
"So’o","你","https://web.klokah.tw/ninew/sound/28/01/02-C-1-1.mp3"
"kamakiSka:at","學生","https://web.klokah.tw/ninew/sound/28/01/02-C-1-2.mp3"
"ay","嗎","https://web.klokah.tw/ninew/sound/28/01/02-C-1-3.mp3"
"’ihi’, yako kamakiSka:at.","是的，我是學生。","https://web.klokah.tw/ninew/sound/28/01/02-B-2.mp3"
"’ihi’","是","https://web.klokah.tw/ninew/sound/28/01/02-C-2-1.mp3"
