"’ayanga sun sinsi, maljimalji a nasarungua’sun!","老師好，你很健康真是太好了！（好久不見！）","https://web.klokah.tw/ninew/sound/12/01/01-B-1.mp3"
"’ayanga","想念","https://web.klokah.tw/ninew/sound/12/01/01-C-1-1.mp3"
"sun","你","https://web.klokah.tw/ninew/sound/12/01/01-C-1-2.mp3"
"sinsi","老師","https://web.klokah.tw/ninew/sound/12/01/01-C-1-3.mp3"
"maljimalji","謝謝","https://web.klokah.tw/ninew/sound/12/01/01-C-1-4.mp3"
"a","[連]","https://web.klokah.tw/ninew/sound/12/01/01-C-1-5.mp3"
"nasarungua’","健康；美好","https://web.klokah.tw/ninew/sound/12/01/01-C-1-6.mp3"
"sun","你","https://web.klokah.tw/ninew/sound/12/01/01-C-1-7.mp3"
"uwi lja, nasarungua’ aken. ’aw tisun?","我很好，你好嗎？","https://web.klokah.tw/ninew/sound/12/01/01-B-2.mp3"
"uwi","是的","https://web.klokah.tw/ninew/sound/12/01/01-C-2-1.mp3"
"lja","[助]","https://web.klokah.tw/ninew/sound/12/01/01-C-2-2.mp3"
"nasarungua’","健康；美好","https://web.klokah.tw/ninew/sound/12/01/01-C-2-3.mp3"
"aken","我","https://web.klokah.tw/ninew/sound/12/01/01-C-2-4.mp3"
"’aw","（發語詞）","https://web.klokah.tw/ninew/sound/12/01/01-C-2-5.mp3"
"tisun","你","https://web.klokah.tw/ninew/sound/12/01/01-C-2-6.mp3"
"nasarungua’ aken uta.","我也很好。","https://web.klokah.tw/ninew/sound/12/01/01-B-3.mp3"
"nasarungua’","健康；美好","https://web.klokah.tw/ninew/sound/12/01/01-C-3-1.mp3"
"aken","我","https://web.klokah.tw/ninew/sound/12/01/01-C-3-2.mp3"
"uta","也","https://web.klokah.tw/ninew/sound/12/01/01-C-3-3.mp3"
"situ sun?","你是學生嗎？","https://web.klokah.tw/ninew/sound/12/01/02-B-1.mp3"
"situ","學生","https://web.klokah.tw/ninew/sound/12/01/02-C-1-1.mp3"
"sun","你","https://web.klokah.tw/ninew/sound/12/01/02-C-1-2.mp3"
"uwi, situ aken.","是的，我是學生。","https://web.klokah.tw/ninew/sound/12/01/02-B-2.mp3"
"uwi","是的","https://web.klokah.tw/ninew/sound/12/01/02-C-2-1.mp3"
"situ","學生","https://web.klokah.tw/ninew/sound/12/01/02-C-2-2.mp3"
"aken","我","https://web.klokah.tw/ninew/sound/12/01/02-C-2-3.mp3"
"situ uta azua a timadju?","他也是學生嗎？","https://web.klokah.tw/ninew/sound/12/01/02-B-3.mp3"
"situ","學生","https://web.klokah.tw/ninew/sound/12/01/02-C-3-1.mp3"
"uta","也","https://web.klokah.tw/ninew/sound/12/01/02-C-3-2.mp3"
"azua","那","https://web.klokah.tw/ninew/sound/12/01/02-C-3-3.mp3"
"a","[連]","https://web.klokah.tw/ninew/sound/12/01/02-C-3-4.mp3"
"timadju","他","https://web.klokah.tw/ninew/sound/12/01/02-C-3-5.mp3"
"ini, sinsi azua a timadju.","不是，他是老師。","https://web.klokah.tw/ninew/sound/12/01/02-B-4.mp3"
"ini","不是","https://web.klokah.tw/ninew/sound/12/01/02-C-4-1.mp3"
"sinsi","老師","https://web.klokah.tw/ninew/sound/12/01/02-C-4-2.mp3"
"azua","那","https://web.klokah.tw/ninew/sound/12/01/02-C-4-3.mp3"
"a","[連]","https://web.klokah.tw/ninew/sound/12/01/02-C-4-4.mp3"
"timadju","他","https://web.klokah.tw/ninew/sound/12/01/02-C-4-5.mp3"
"gacalju!","請起立！","https://web.klokah.tw/ninew/sound/12/01/03-B-1.mp3"
"gacalju","請起立","https://web.klokah.tw/ninew/sound/12/01/03-C-1-1.mp3"
"’a’ivu!","請說話！","https://web.klokah.tw/ninew/sound/12/01/03-B-2.mp3"
"’a’ivu","請說話","https://web.klokah.tw/ninew/sound/12/01/03-C-2-1.mp3"
"langdau!","請留心聽！","https://web.klokah.tw/ninew/sound/12/01/03-B-3.mp3"
"langdau","請聽","https://web.klokah.tw/ninew/sound/12/01/03-C-3-1.mp3"
"’iladju!","請坐下！","https://web.klokah.tw/ninew/sound/12/01/03-B-4.mp3"
"’iladju","請坐下","https://web.klokah.tw/ninew/sound/12/01/03-C-4-1.mp3"
"tima sun?","你是誰？","https://web.klokah.tw/ninew/sound/12/01/04-B-1.mp3"
"tima","誰","https://web.klokah.tw/ninew/sound/12/01/04-C-1-1.mp3"
"sun","你","https://web.klokah.tw/ninew/sound/12/01/04-C-1-2.mp3"
"a ku ngadan ti ljegeay, lja kitjuvian aken.","我的名字叫Ljegeay，我是Kitjuvian家族的。","https://web.klokah.tw/ninew/sound/12/01/04-B-2.mp3"
"a","[主]","https://web.klokah.tw/ninew/sound/12/01/04-C-2-1.mp3"
"ku","我","https://web.klokah.tw/ninew/sound/12/01/04-C-2-2.mp3"
"ngadan","名字","https://web.klokah.tw/ninew/sound/12/01/04-C-2-3.mp3"
"ti","[名]","https://web.klokah.tw/ninew/sound/12/01/04-C-2-4.mp3"
"ljegeay","（男子名）","https://web.klokah.tw/ninew/sound/12/01/04-C-2-5.mp3"
"lja","（家名標記）","https://web.klokah.tw/ninew/sound/12/01/04-C-2-6.mp3"
"kitjuvian","（家族名）","https://web.klokah.tw/ninew/sound/12/01/04-C-2-7.mp3"
"aken","我","https://web.klokah.tw/ninew/sound/12/01/04-C-2-8.mp3"
"ti vavauni azua a timadju?","那位是Vavauni嗎？","https://web.klokah.tw/ninew/sound/12/01/04-B-3.mp3"
"ti","[名]","https://web.klokah.tw/ninew/sound/12/01/04-C-3-1.mp3"
"vavauni","（女子名）","https://web.klokah.tw/ninew/sound/12/01/04-C-3-2.mp3"
"azua","那","https://web.klokah.tw/ninew/sound/12/01/04-C-3-3.mp3"
"a","[連]","https://web.klokah.tw/ninew/sound/12/01/04-C-3-4.mp3"
"timadju","她","https://web.klokah.tw/ninew/sound/12/01/04-C-3-5.mp3"
"ini, inika ti vavauni azua a timadju, ti ljavaws.","不是，她不是Vavauni，她名叫Ljavaus。","https://web.klokah.tw/ninew/sound/12/01/04-B-4.mp3"
"ini","不是","https://web.klokah.tw/ninew/sound/12/01/04-C-4-1.mp3"
"inika","不是","https://web.klokah.tw/ninew/sound/12/01/04-C-4-2.mp3"
"ti","[名]","https://web.klokah.tw/ninew/sound/12/01/04-C-4-3.mp3"
"vavauni","（女子名）","https://web.klokah.tw/ninew/sound/12/01/04-C-4-4.mp3"
"azua","那","https://web.klokah.tw/ninew/sound/12/01/04-C-4-5.mp3"
"a","[連]","https://web.klokah.tw/ninew/sound/12/01/04-C-4-6.mp3"
"timadju","她","https://web.klokah.tw/ninew/sound/12/01/04-C-4-7.mp3"
"ti","[名]","https://web.klokah.tw/ninew/sound/12/01/04-C-4-8.mp3"
"ljavaws","（女子名）","https://web.klokah.tw/ninew/sound/12/01/04-C-4-9.mp3"
"u’aljay sun.","你是男生。","https://web.klokah.tw/ninew/sound/12/01/05-B-1.mp3"
"u’aljay","男性","https://web.klokah.tw/ninew/sound/12/01/05-C-1-1.mp3"
"sun","你","https://web.klokah.tw/ninew/sound/12/01/05-C-1-2.mp3"
"vavayavayan amen.","我們是女生。","https://web.klokah.tw/ninew/sound/12/01/05-B-2.mp3"
