"sinsi, ’inava u ziya?","老師，你好嗎？","https://web.klokah.tw/ninew/sound/02/01/01-B-1.mp3"
"sinsi","老師","https://web.klokah.tw/ninew/sound/02/01/01-C-1-1.mp3"
"’inava","好","https://web.klokah.tw/ninew/sound/02/01/01-C-1-2.mp3"
"u","你","https://web.klokah.tw/ninew/sound/02/01/01-C-1-3.mp3"
"ziya","還","https://web.klokah.tw/ninew/sound/02/01/01-C-1-4.mp3"
"ai, ’inava ku ziya!","是的，我很好。","https://web.klokah.tw/ninew/sound/02/01/01-B-2.mp3"
"ai","是的","https://web.klokah.tw/ninew/sound/02/01/01-C-2-1.mp3"
"’inava","好","https://web.klokah.tw/ninew/sound/02/01/01-C-2-2.mp3"
"ku","我","https://web.klokah.tw/ninew/sound/02/01/01-C-2-3.mp3"
"ziya","還","https://web.klokah.tw/ninew/sound/02/01/01-C-2-4.mp3"
"inu mu, ’inava u ziya?","你呢，你好嗎？","https://web.klokah.tw/ninew/sound/02/01/01-B-3.mp3"
"inu","你","https://web.klokah.tw/ninew/sound/02/01/01-C-3-1.mp3"
"mu","[虛]","https://web.klokah.tw/ninew/sound/02/01/01-C-3-2.mp3"
"’inava","好","https://web.klokah.tw/ninew/sound/02/01/01-C-3-3.mp3"
"u","你","https://web.klokah.tw/ninew/sound/02/01/01-C-3-4.mp3"
"ziya","還","https://web.klokah.tw/ninew/sound/02/01/01-C-3-5.mp3"
"’inava ku ziya, lrayuwan!","我很好，謝謝！","https://web.klokah.tw/ninew/sound/02/01/01-B-4.mp3"
"’inava","好","https://web.klokah.tw/ninew/sound/02/01/01-C-4-1.mp3"
"ku","我","https://web.klokah.tw/ninew/sound/02/01/01-C-4-2.mp3"
"ziya","還","https://web.klokah.tw/ninew/sound/02/01/01-C-4-3.mp3"
"lrayuwan","謝謝","https://web.klokah.tw/ninew/sound/02/01/01-C-4-4.mp3"
"a temakakesi u?","你是學生嗎？","https://web.klokah.tw/ninew/sound/02/01/02-B-1.mp3"
