"autoId","textId","dialectId","sentenceAb","sentenceCh","sentenceOrder"
"529922","34045","1","I pituay ku tuki tayra tu kaku i cacudadan.","我今天七點到學校。","1"
"529923","34045","1","Malingatu tu a micudad! cumudsa ku pasevana’ay, suwal satu ku pangcang, “katemireng! micemek!”","開始上課了!老師剛走進教室時，班長說:「起立!敬禮!」","2"
"529924","34045","1","Tataang ku nipangiha niyam, “Kapah haw kisu pasevana’ay?”","我們大聲的說:「老師好。」","3"
"529925","34045","1","I nipicudad, pasevana’an nu pasevana’ay kami tu sasausian nu Pangcah a suwal.","上課的時候，老師教我們數字的阿美族語。","4"
"529926","34045","1","Duduen niyam ku pasevana’ay a remadiw tu sapisa’usi a radiw.","我們跟著老師唸，我們唱了數字歌。","5"
"529927","34045","1","Adihay tu ku nikavana’an nu maku tu suwal nu Pangcah.","我學會好多族語。","6"
"529928","34045","1","A patengil kaku ci inaan tu nipinanam tu suwal nu Pangcah i cacudadan tu remiremiad.","我天天上學，我天天學族語，我要講給媽媽聽。","7"
"529976","34049","1","Ci Kacaw ku ngangan nu maku.","我的名字是kacaw。","1"
"529977","34049","1","Ci Using ku ngangan ni ama nu maku.","我爸爸的名字是Using。","2"
"529978","34049","1","Ci Panay ku ngangan ni ina nu maku.","我媽媽的名字是Panay。","3"
"529979","34049","1","Muktep tu ku mihcaan nu maku i anini a mihca.","我今年10歲。","4"
"529980","34049","1","Sikaka kaku tu vavainay cacay, ci Kulas han cira, savaw tu cacay ku mihcaan nira i anini a mihca.","我有一個哥哥，他叫Kulas，他今年11歲。","5"
"529981","34049","1","Malecad ku cacudadan niyam.","我們在同一間學校讀書。","6"
"529982","34049","1","Maulah kami malekaka a remidiw.","我和哥哥都喜歡唱歌。","7"
"529983","34049","1","Maulah kaku a midanguy, i pipantangan maruyaruy tu ku luma’ niyam a midanguy.","我喜歡游泳，放假的時候，我們全家會一起去游泳。","8"
"529984","34049","1","Maulah kaku a sicavay tu valuhay a cavay, malecavay tu kami a remadiw, a midanguy.","我喜歡認識新朋友，我們可以一起唱歌和游泳。","9"
"530028","34053","1","U wawa nu Pangcah kaku.","我是阿美族的小孩。","1"
"530029","34053","1","I Rinahemay ku luma’ nu niyam.","我們家住在Rinahem。","2"
"530030","34053","1","U tamdaw nu luma’ nu niyam lalima.","我們家共有五個人。","3"
"530031","34053","1","Tatulu kami a malekaka.","我們家有三個兄弟姊妹。","4"
"530032","34053","1","Makumud ku aru’ nu maku aci ama, ina, atu kaka tu vavainayan, kaka tu vavahiyan.","我跟爸爸、媽媽、哥哥和姊姊住在一起。","5"
"530033","34053","1","Tarakaw ci ama aku, u malakincalay ci ama nu maku.","我的爸爸很高，我的爸爸是警察。","6"
"530034","34053","1","Makupit ci ina aku, u ising ci ina nu maku.","我的媽媽很瘦，我的媽媽是醫生。","7"
"530035","34053","1","Anu i luma’ tu ci ama, u nu Pangcah tu ku nikasasuwal niyam.","爸爸在家就會和我們說阿美族語。","8"
