language,section_id,pdf_page,previous_text,corrected_text,evidence
Kavalan,6,10,cingcaw( 清 朝 )ti; zipun( 日 本 )ti,cingcaw( 清 朝 ) ti; zipun( 日 本 ) ti,Preserve published word boundaries after CJK annotations
Saaroa,0,5,mualiuhlʉ,mualiuhlu,Official PDF title uses final u
Truku,25,23,"tnpusu;,“","tnpusu＇,“",Official PDF text layer identifies U+FF07 after tnpusu; the rendered font shows a missing glyph
Amis,20,21,"comahadnosaka’orip,pirayraytoserangawanato","comahad no saka ’orip, pirayray to serangawan ato",Official PDF physical page 21 (printed 18); embedded text and rendered page checked; POL-001/POL-038
Atayal,4,8,nanu’nasquliqminqsu’. maymawmtzyuwazyuwaw,nanu’ na squliq minqsu’. maymaw mtzyuwazyuwaw,Official PDF physical page 8 (printed 5); embedded text and rendered page checked; POL-001/POL-038
Bunun,18,20,Makuunisaikinkukkatutanghapupaliskadantu,Makuuni saikin kukka tu tanghapu paliskadan tu,Official PDF physical page 20 (printed 17); embedded text and rendered page checked; POL-001/POL-038
Kanakanavu,17,20,taihiu.kenkiu,taihiu. kenkiu,Official PDF physical page 20 (printed 17); embedded text and rendered page checked; POL-001/POL-038
Saaroa,31,27,umuhlipasamia,malitʉnʉlʉ patasuuru cucukokana umuhlipasamia,Official PDF physical page 27 (printed 24); embedded text and rendered page checked; POL-001/POL-038
Saisiyat,20,21,kapatawawan’izo’,kapatawawan ’izo’,Official PDF physical page 21 (printed 18); embedded text and rendered page checked; POL-001/POL-038
Tsou,6,10,‘oniaseizi( 治 理 )to‘olan( 荷 蘭 )hoteisekoo,‘o nia seizi( 治 理 ) to ‘olan( 荷 蘭 ) ho teisekoo,Official PDF physical page 10 (printed 7); embedded text and rendered page checked; POL-001/POL-038
Tsou,20,21,"tenoc’ʉhʉta 行政院,yu’tasvʉtʉhotasucza","te noc’ʉhʉ ta 行政院, yu’tasvʉtʉ ho tasucza",Official PDF physical page 21 (printed 18); embedded text and rendered page checked; POL-001/POL-038
Tsou,25,23,nelipoin 立 法 院‘ohoolicu 法 律noiachi,ne lipoin 立 法 院 ‘o hoolicu 法 律 no iachi,Official PDF physical page 23 (printed 20); embedded text and rendered page checked; POL-001/POL-038
