"autoId","textId","dialectId","sentenceAb","sentenceCh","sentenceOrder"
"186716","15208","1","1. Ci Sera aci Nakaw u salangawan nu Pangcah itila i ci Langasan ku ’urip nanu tu’as.","一、斯拉和拿高是阿美族的祖先他們來自奇拉雅山。","1"
"186717","15208","1","2. Ci Sera a ci Nakaw, u tatapangan nu Pangcah, na itiya ci Langasan a maepud tala Kiwit.","二、斯拉和拿高是阿美族的根源他們從奇拉雅山來到奇美部落。","2"
"186718","15208","1","3. Sasiwawa sa ci Nakaw ci Tapang masera, ci Calaw Panahay, ci Karu Ku’ul.","三、拿高生了達邦馬斯拉及札勞巴拿海和卡魯咕烏兒","3"
"186719","15208","1","4. Ci Tumay masera, itira sa i ’amis, itira Ciwidian hananay a niyaru’.","四、老大杜買馬斯拉，後來遷移至奇拉雅山北方。在水璉部落。","4"
"186720","15208","1","5. U yaan a vekeluh, i tiyaay henay a sapad, na u luma’ ni Tapang masera.","五、舞鶴山上的石柱。那即是老二達邦馬斯拉的老家。","5"
"186721","15208","1","6. Ci Calaw Panahay satu i, itila i kiwit, ci Karu Ku’ul itila i Tavalung.","六、老三札勞巴那海，居在奇美部落。老四卡魯古烏兒居於太巴塱。","6"
"186722","15208","1","7. U tenud ku nu Kiwit, u tukar ku nu Tavalung, u dudang ku nu Natawran.","七、奇美以船錨為象徵，太巴塱以竹梯為象徵，荳蘭以獨木舟為象徵。","7"
"186723","15208","1","8. Hatilaay ku rayray nu nanu tu’as, mahaenaay ku demak nu mita u Pangcah na i tiyahen.","八、我們阿美族的祖先是這樣來的。阿美族世代相傳到現在。","8"
"187144","15215","1","Lekal Singsi： Kapah i matini, u wina ni Puyar kaku,","Lekal老師：你好 我是Puyar labang的媽媽。","1"
"284540","15215","1","i nacila tahaluma’ na micudad, mikacumuli ci Puyar atu kaka nira, caay pina’un makalat nu kakuhkuh ci Puyar,","昨天放學後，Puyar和他的哥哥去田野撿蝸牛，不小心被眼鏡蛇咬傷，","2"
"284541","15215","1","kakerur han nu niyam a patalaising i nacila, u suwal nu ising, “A melawan hen nu ising tu cacay a remi’ad” saan,","經送醫治療後醫師說須觀察一天，","3"
"284542","15215","1","Saka dengay a pahanhan cingra anini a remi’ad, anu hayi sa kisu singsi tu ni pahanhan nira tu cacay a remi’ad i, aray han naku kisu.","要在家休息，請老師准假一天。","4"
"284543","15215","1","Kuvi ku paluwaday Sapavana’","敬上 通告","5"
"284544","15215","1","I pitu a vulad nu savaw lima nu remiad, tangasa i pitu a vulad nu tusa a pulu’ nu remiad, i talu’an nu Dawlik a malingatu ku lalikid nu mita.","謹訂於自七月十五日至七月二十日在月眉活動中心，舉行一年一度的豐年祭，","6"
"284545","15215","1","mitatala kami tu ni pikihatiya nu namu, sisa kita u tayniyay anim a salikaka, u tadamaanay a lavang, u cavay amin, salipahakaw nu mita a misakeru a remadiw, a pamelaw tu vangcalay nu lalikid nu mita.","歡迎鄉親父老、長官來賓、好朋友回來，共襄盛舉，我們一起唱歌跳舞，來發揚我們美好的文化。","7"
"284546","15215","1","Wama nu niyaru’atu kapah","部落青年之父 敬邀","8"
