"dialect_id","lesson_no","word_order","word_ab","word_ch"
"1","1","1","nipangangan","命名"
"1","1","2","laed","距離"
"1","1","3","midungdung","延路"
"1","1","4","enar","平地"
"1","1","5","milawit","越過（跨越）"
"1","1","6","tangasa","到逹"
"1","1","7","liyut","周圍"
"1","2","1","cuwacuwa","何處"
"1","2","2","saadihayay","最多"
"1","2","3","saka’urip","過生活"
"1","2","4","miliyas","離開"
"1","2","5","mariwasak","分散"
"1","2","6","makaala","買了"
"1","3","1","mikingkiway","研究者"
"1","3","2","malecad","相同"
"1","3","3","satimulan","南邊"
"1","3","4","mahaen","就這樣"
"1","3","5","macacu’isay","互換的"
"1","3","6","masinanut","確認"
"1","4","1","sawaliyan","東邊"
"1","4","2","masaenaray","平坦的"
"1","4","3","makayni","經過"
"1","4","4","mitatimul","往南邊去"
"1","4","5","paluma&rsquo;","蓋房子"
"1","4","6","marariwasak","擴張"
"1","5","1","misitekeday","獨居者"
"1","5","2","sawali","東方"
"1","5","3","pacumud","引進"
"1","5","4","lisin","節慶"
"1","6","1","laliyas","想分開"
"1","6","2","pateli","放入"
"1","6","3","kakilac","分切"
"1","6","4","siniyaru’","組成部落"
"1","7","1","miterungay","中間人"
"1","7","2","makumud","共同"
"1","7","3","payniyaniyaru’","各族群"
"1","7","4","paketunay","裁判者"
"1","7","5","mapapaliw","輪工"
"1","8","1","suritan","寫了"
"1","8","2","tatudung","備份"
"1","8","3","kalas","耆老"
"1","8","4","militevuc","懲罰（物質）"
"1","8","5","patelac","錯誤"
"1","8","6","miduka","傷痕"
"1","8","7","micuhcuhay","吸吮者"
"1","8","8","pihaceng","嚴重"
"1","8","9","valvalen","被打鞭"
"1","8","10","tastasen","拆除"
"1","9","1","pangiha","吶喊"
"1","9","2","dadahalay","寛闊"
"1","9","3","dungdung","延伸"
"1","9","4","nakamayan","經手做的"
"1","9","5","kahemekan","讚不絕口"
"1","10","1","mamelawan","觀賞用的"
"1","10","2","kadademakan","工作場所"
"1","10","3","matungal","增加"
"1","10","4","matatudung","剛剛好"
"1","10","5","nipamelaw","被看得"
"1","10","6","hahululan","娛樂場所"
"1","10","7","savaluhay","更新"
"1","11","1","paca’uv","回答"
"1","11","2","militinayi’","取內臟"
"1","11","3","taluma’sa","自行回家"
"1","11","4","kaalaan","獵到的"
"1","11","5","mihakulung","跟隨"
"1","11","6","mahiniyay","就這樣"
"1","12","1","malawawa","變成孩子"
"1","12","2","patinaku","解說"
"1","12","3","sapilalikid","豊年祭用物"
"1","12","4","limucedan","青少女"
"1","12","5","sitakak","戴頭飾"
"1","12","6","pay’ayaway","肚兜"
"1","13","1","sapinengneng","望遠鏡"
"1","13","2","alumaanan","眾親友"
"1","13","3","tata’akay","最大的"
"1","13","4","micakat","爬升"
"1","13","5","kalecapu","聚集"
"1","13","6","nipatireng","扶搖直上"
"1","14","1","sapimaan","做什麼用"
"1","14","2","misayvangay","審判者"
"1","14","3","rangatan","圍繞"
"1","14","4","micumud","進入"
"1","14","5","sapiseveng","守候區"
"1","15","1","pasuvana’","解釋"
"1","15","2","sasimsimen","思念的"
"1","15","3","mitaelivay","路人"
"1","15","4","cuwacuwaay","從何處來的"
"1","15","5","sasuwalen","八卦"
"1","16","1","sitatudungay","權力人"
"1","16","2","nisanga","作品"
"1","16","3","valuhaytu","新制作的"
"1","16","4","kalecapuan","聚會所"
"1","16","5","alangaden","用手端著"
"1","17","1","taterungan","媒介"
"1","17","2","miurung","扛"
"1","17","3","misapinang","查清楚"
"1","17","4","mipili&rsquo;","選擇"
"1","17","5","sipatelacay","有錯的"
"1","18","1","mikadavu","婚嫁"
"1","18","2","lusay","果實"
"1","18","3","sapikuwan","管理制度"
"1","18","4","mamiririd","領導者"
"1","18","5","mapapavatis","彼此分享"
"1","19","1","miliyasay","亡者"
"1","19","2","wayway","行為"
"1","19","3","tatalaayaw","正值年輕"
"1","19","4","misamata","看清楚"
"1","19","5","vaesingay","打噴嚏的"
"1","19","6","napunu’an","聰明才智"
"1","20","1","mihecaan","年度"
"1","20","2","sapisanga","材料"
"1","20","3","nipelaan","裁剪過"
"1","20","4","kasienawan","冬天"
"1","20","5","misangiru","取暖"
"1","20","6","matiya","就好像"
"1","21","1","pavana’","告知"
"1","21","2","naawaay","當沒有"
"1","21","3","paini","給予"
"1","21","4","nasuwalan","說過的話"
"1","21","5","pasuelin","相信"
"1","21","6","hinasuwal","多話"
"1","22","1","kumud","共同"
"1","22","2","miterung","主持"
"1","22","3","lemed","運氣（幸運）"
"1","22","4","vuhat","開"
"1","22","5","litemuh","遇見"
"1","23","1","misa’urad","祈雨"
"1","23","2","makerah","乾旱"
"1","23","3","milunguc","祈求"
"1","23","4","misalisinay","祭士"
"1","23","5","matatapesi’","互相潑水"
"1","23","6","malalusa’","變成淚水"
"1","24","1","malahuk","午餐"
"1","24","2","nipivuting","捕魚狀況"
"1","24","3","sapieteng","圍捕"
"1","24","4","nisilsil","排列"
"1","24","5","madayum","得來容易"
"1","25","1","suvuc","生（N）"
"1","25","2","malasawad","消失"
"1","25","3","adingu","靈魂"
"1","25","4","masidayay","失蹤者"
"1","25","5","valengen","埋葬了"
"1","25","6","vanglihay","腐臭"
"1","26","1","malasawadtu","消失了"
"1","26","2","malaliw","未趕上時間"
"1","26","3","matukaay","不勤奮的"
"1","26","4","nirepetan","扶持"
"1","26","5","kavana’an","被發現"
"1","26","6","malingad","出發"
"1","27","1","paradiway","領唱者"
"1","27","2","micaradaw","回應唱"
"1","27","3","miturinay","銜接者"
"1","27","4","masaheci","激勵"
"1","27","5","milekal","吶喊"
"1","27","6","mamalasawad","即將消失"
"1","28","1","kariyut","頭渦"
"1","28","2","mamavelih","比較笨拙"
