dialect	source_label	example_number	test_list_page	translation_page	source_form	source_gloss	source_translation	source_alternate_translation	source_alternate_translation_notes	decision	evidence
Maolin	Maga	1	38	39	aɖi ŋulu!	NEG drink	Don't drink!			accepted	Rendered pages 38 and 39; reviewer-confirmed ɖ, gloss, and translation visually match.
Maolin	Maga	2	38	39	abrele kɨkɨ.	tired 1S.NOM	I am tired.			accepted	Rendered pages 38 and 39; form, gloss, and translation visually match.
Maolin	Maga	3	38	39	traɖo-ŋa musu.	big-already 2S.NOM	You have gotten big.			accepted	Rendered pages 38 and 39; reviewer-confirmed ɖ, interlinear form, gloss, and translation visually match.
Maolin	Maga	4	38	39	sakroɖu-ŋa tubi.	start-already cry	(S/he) started to cry.			accepted	Rendered pages 38 and 39; reviewer-confirmed ɖ and source parenthetical preserved exactly.
Maolin	Maga	5	38	39	saokura maucuru gili nma.	very fat younger.sibling 1S.GEN	My younger sibling is very fat.			accepted	Rendered pages 38 and 39; form, gloss, and translation visually match.
Maolin	Maga	6	38	39	uputakɨ knee icoo.	run this person	This person ran/is running.			accepted	Rendered pages 38 and 39; source slash preserved exactly.
Maolin	Maga	7	38	39	ko-sa-tepruu na aŋatu.	1S.NOM-use-make brushwood	I want to use brushwood to make a fire.			accepted	Rendered pages 38 and 39; interlinear hyphenation, gloss, and translation visually match.
Maolin	Maga	8	38	40	i-sierkɨ ki mamaa.	NEG-sleep NOM father	Father did not sleep.			accepted	Rendered pages 38 and 40; interlinear form, gloss, and translation visually match.
Maolin	Maga	9	38	40	u-rgu ki kanaw luŋluŋee.	ACT/REAL-know NOM Kanaw swim	Kanaw knows (how to) swim.			accepted	Rendered pages 38 and 40; source parenthetical preserved exactly.
Maolin	Maga	10	38	40	astita-li kɖoo vlavlakɨ.	NOM:beat-1S.NOM that child	It is I who beat that child.			accepted	Rendered pages 38 and 40; reviewer-confirmed ɖ, interlinear hyphenation, gloss, and translation visually match.
Maolin	Maga	11	38	40	ukpuslɨ kɨkɨ kwonɨ na broo.	twice 1S.NOM eat rice	I ate rice twice.			accepted	Rendered pages 38 and 40; form, gloss, and translation visually match.
Maolin	Maga	12	38	40	ikee blatɨ ki ninaa.	exist outside NOM mother	Mother is outside.			accepted	Rendered pages 38 and 40; form, gloss, and translation visually match.
Maolin	Maga	13	38	40	marimuru pkee danɨ na sosisu.	forget put house key	He forgot (his) keys at home.			accepted	Rendered pages 38 and 40; source parenthetical preserved exactly.
Maolin	Maga	14	38	40	n-udu maa kɨkɨ na vlisnɨ pwabreve.	will-carry.on.back will 1S.NOM wild.pig to:village	I will bring the wild pig back to the village.			accepted	Rendered pages 38 and 40; interlinear hyphenation, gloss, and translation visually match.
Dona	Tona	1	41	42	abaili kakə.	tired 1S.NOM	I am tired.			accepted	Rendered pages 41 and 42; form, gloss, and translation visually match.
Dona	Tona	2	41	42	taomomoa koso.	grown.up 2S.NOM	You are grown up.			accepted	Rendered pages 41 and 42; form, gloss, and translation visually match.
Dona	Tona	3	41	42	siakiaoɖo-ŋa tobi.	start-already cry	(S/he) started to cry.			accepted	Rendered pages 41 and 42; reviewer-confirmed ɖ and source parenthetical preserved exactly.
Dona	Tona	4	41	42	saokwamamitə valak-ili.	very fat child-1S.GEN	My child is very fat.			accepted	Page 41 separates saokwa and mamitə; the detailed aligned example on page 42 and reviewer correction join them as saokwamamitə, with very fat as one aligned W gloss.
Dona	Tona	5	41	42	tyaiday koɖay maoɖaŋə.	run that old.person	That old person ran/is running.			accepted	Rendered pages 41 and 42; both reviewer-confirmed ɖ characters and the source slash visually match.
Dona	Tona	6	41	42	ko-sya-tiapoy nakay ʔaŋato.	1S.NOM-use-make.a.fire this brushwood	I want to use this brushwood to make a fire.			accepted	Rendered pages 41 and 42; interlinear hyphenation, gloss, and translation visually match.
