source_label	source_id	printed_page	pdf_page	raw_form	reason
Kavalan	3b	255	3	* tanian-an-su q‹m›an tu/ya babuy?	source-marked ungrammatical example excluded under POL-016
Theory	9	258	6	Feature specifications of v	theoretical feature list, not a Formosan sentence
Theory	12	259	7	Partial derivation for (8a)	syntactic tree/analysis diagram, not a sentence
Theory	13	260	8	Partial derivation for (8b)	syntactic tree/analysis diagram, not a sentence
Amis	14b	260	8	* tuniq-en nu kuwaq ku ti’ti’ aca.	source-marked ungrammatical example excluded under POL-016
Theory	16	261	9	The verbal structure of -en	syntactic tree/analysis diagram, not a sentence
Theory	17	262	10	Partial derivation for (8c)	syntactic tree/analysis diagram, not a sentence
Amis	18a	262	10	* mi-nanum-en	source-marked ungrammatical example excluded under POL-016
Amis	18b	262	10	* ma-ruhem-en	source-marked ungrammatical example excluded under POL-016
Kavalan	21b	264	12	* sabiqbiq=ti=iku tu zanum.	source-marked ungrammatical example excluded under POL-016
Theory	22	265	13	The structure of Kavalan -an	syntactic tree/analysis diagram, not a sentence
Kavalan	23a	265	13	? maynep=iku tu qaynepan.	source-marked marginal example excluded under POL-016
Kavalan	23d	265	13	? t‹m›alumbi ta-liab-an na takan ya sunis a yau tu tina-na.	source-marked marginal example excluded under POL-016
Theory	26	267	15	The structure of the do-how question	syntactic tree/analysis diagram, not a sentence
Kavalan	27b	267	15	* tanian-an-su q‹m›an tu/ya babuy?	source-marked ungrammatical example excluded under POL-016
Amis	28b	268	16	* icuwa-en isu mi-saosi k-u cudad?	source-marked ungrammatical example excluded under POL-016
Theory	31	268	16	Head Movement Constraint	theoretical definition, not a sentence
Theory	32	269	17	Empty Category Principle	theoretical definition, not a sentence
Theory	33	269	17	Head movement structure	syntactic tree/analysis diagram, not a sentence
Theory	34	269	17	Adjunction structure for tanian	syntactic tree/analysis diagram, not a sentence
Theory	35	270	18	Transparence Condition	theoretical definition, not a sentence
Theory	36	271	19	Partial derivation for (27a)	syntactic tree/analysis diagram, not a sentence
Kavalan	39	272	20	* tanian=isu tu kelisiw-su?	source-marked ungrammatical example excluded under POL-016
Amis	40	272	20	* icuwa kisu t-u payci?	source-marked ungrammatical example excluded under POL-016
Theory	45	274	22	Partial derivation for (42a)	syntactic tree/analysis diagram, not a sentence
Kavalan	46	274	22	* u-tani=isu tu kelisiw?	source-marked ungrammatical example excluded under POL-016
Amis	47	274	22	* pina ci ofad t-u payci?	source-marked ungrammatical example excluded under POL-016
Kavalan	50	276	24	* tazian-an-ku m-Rasa tu/ya sudad.	source-marked ungrammatical example excluded under POL-016
Amis	51	277	25	* itiraw-en ni utay mi-pacu’ t-u/k-u fafuy.	source-marked ungrammatical example excluded under POL-016
Kavalan	54b	278	26	* qumni-an-su t‹m›ayta ti-buya-an?	source-marked ungrammatical example excluded under POL-016
Kavalan	54d	279	27	* mana-an-su m-ala ya kelisiw-ku?	source-marked ungrammatical example excluded under POL-016
Amis	55b	279	27	* ihakuwa-en ma-alaw isu ci panay?	source-marked ungrammatical example excluded under POL-016
Amis	55d	279	27	* naw-en ma-ulah ci panay ci lekal-an?	source-marked ungrammatical example excluded under POL-016
Amis	57a	280	28	* c‹m›ikay wawa k-u-ni.	source-marked ungrammatical example excluded under POL-016
Theory	58	281	29	DP-internal predicate inversion	syntactic tree/analysis diagram, not a sentence
Theory	61	282	30	Structure of which and whose in Kavalan and Amis	syntactic tree/analysis diagram, not a sentence
Tzotzil	62	282	30	Tzotzil examples from Aissen 1996	non-Formosan comparison examples
English	63	284	32	Harley and Noyer English examples	non-Formosan comparison examples
