"maya’ So’o ’am rima’ rayno’?","maya’，你要去哪裡？","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s1.mp3"
"ya:o ’am lobih komita’ hi ’oya’  ki yaba’ ma’an.","我要回家看父母。","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s2.mp3"
"lobih ’ampowa’?","回去做什麼？","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s3.mp3"
"’am rima’ Somater ka kakrangi’an ’ini ’oya’ ki yaba’.","我要送一些東西給我爸爸媽媽。","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s4.mp3"
"lasiya kayzaeh ay?","他們好嗎？","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s5.mp3"
"lasiya kayzaeh.","他們很好。","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s6.mp3"
"So’o ’am rima’ piza’  hahila:?","你要去幾天？","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s7.mp3"
"rim’aen ’am lobih.","明天回來。","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s8.mp3"
"rim’aen ’ima ’ikakoza’  ’am lobih?","明天什麼時間回來？","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s9.mp3"
"’am rohaenan ila lobih ray taew’an.","晚上才會回來。","https://klokah.tw/extension/con_data/sound/13/sentence/13c1s10.mp3"
"So’o kayzaeh ay! niSo’ raro:o’ Sin hiya’en?","你好！你叫什麼名字？","https://klokah.tw/extension/con_data/sound/13/sentence/13c2s1.mp3"
"ma’an raro:o’  Sin  kizawen.","我的名字叫kizaw。","https://klokah.tw/extension/con_data/sound/13/sentence/13c2s2.mp3"
"moyo roSa’ ’aehael ay?","你們兩個是姊弟嗎？","https://klokah.tw/extension/con_data/sound/13/sentence/13c2s3.mp3"
"’ihi’, siya  minayti’ ma’an, Sin ta:inin.","是的，他是我弟弟，他叫ta:in。","https://klokah.tw/extension/con_data/sound/13/sentence/13c2s4.mp3"
"’a:ay! kita’en nakhara hingha’ ka kinmae’iyaehan.","看起來就很像。","https://klokah.tw/extension/con_data/sound/13/sentence/13c2s5.mp3"
