scope	record_id	source_page	expected_input	decision_class	output_forms_json	evidence
dictionary	song-2018-kanakanavu-dictionary-0005	193	ara-	bound_form_entry_excluded	[]	Appendix 2A prints a terminal hyphen and supplies no unattached surface; entry deleted from the published XML per review decision (exclusion recorded in intermediate/dictionary_ledger.csv)
dictionary	song-2018-kanakanavu-dictionary-0006	193	aracaini / araceni / araceen	source_slash_variants	"[""aracaini"",""araceni"",""araceen""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0012	193	arakukunu / arakukuun	source_slash_variants	"[""arakukunu"",""arakukuun""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0017	193	arapipiningi / arapipining	source_slash_variants	"[""arapipiningi"",""arapipining""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0021	193	aratʉkʉnʉ/ aratʉkʉʉn	source_slash_variants	"[""aratʉkʉnʉ"",""aratʉkʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0023	193	aunu / ono	source_slash_variants	"[""aunu"",""ono""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0025	193	ccacanʉ/ cacaan	source_slash_variants	"[""ccacanʉ"",""cacaan""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0033	193	canumu / canuum	source_slash_variants	"[""canumu"",""canuum""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0063	194	curu; cucuru	source_semicolon_lexemes	"[""curu"",""cucuru""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0066	194	cʉnʉ/ cʉʉn	source_slash_variants	"[""cʉnʉ"",""cʉʉn""]"	Reader p193 instruction 2 defines slash-separated forms as pronunciation variants or forms whose roots vary under suffixation
dictionary	song-2018-kanakanavu-dictionary-0070	194	íkamu; kamu; mu; kamua	source_semicolon_lexemes	"[""íkamu"",""kamu"",""mu"",""kamua""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0071	194	íkasu; kasu; musu; kasua	source_semicolon_lexemes	"[""íkasu"",""kasu"",""musu"",""kasua""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
dictionary	song-2018-kanakanavu-dictionary-0072	194	ikim; kim; mia; kimia	source_semicolon_lexemes	"[""ikim"",""kim"",""mia"",""kimia""]"	Reader p193 instruction 2 defines semicolon-separated forms as related words or pronoun case forms
