sentence_id	word_index	word_form	source_word_gloss	canonical_word_gloss	m_forms	m_glosses	evidence
tsukida2014_seediq_S006	3	b-en-arig=na	CV.PRF-buy=3SG.GEN	<CV.PRF>buy=3SG.GEN	b-arig|-en-|=na	buy|CV.PRF|3SG.GEN	Rendered example 7 aligns the infixed verb and genitive clitic with one gloss column.
tsukida2014_seediq_S009	2	r-em-eŋaw	AV-talk	<AV>talk	r-eŋaw|-em-	talk|AV	Rendered example 13 aligns the infixed verb with AV-talk.
tsukida2014_seediq_S011	6	b-en-egay	CV.PRF-give	<CV.PRF>give	b-egay|-en-	give|CV.PRF	Rendered example 14b aligns the infixed verb with CV.PRF-give.
tsukida2014_seediq_S018	5	p-en-huqil	AV.PRF-kill	<AV.PRF>kill	p-huqil|-en-	kill|AV.PRF	Rendered example 18a aligns the bracketed infixed verb with AV.PRF-kill.
tsukida2014_seediq_S019	4	p-en-huqil	AV.PRF-kill	<AV.PRF>kill	p-huqil|-en-	kill|AV.PRF	Rendered example 18b aligns the bracketed infixed verb with AV.PRF-kill.
tsukida2014_seediq_S020	1	S-em-en-teruŋ=ku	AV-PRF-meet=1SG.NOM	<AV><PRF>meet=1SG.NOM	S-teruŋ|-em-|-en-|=ku	meet|AV|PRF|1SG.NOM	Rendered example 19a aligns two infixes and a nominative clitic with the source gloss.
tsukida2014_seediq_S021	1	S-em-en-teruŋ=ku	AV-PRF-meet=1SG.NOM	<AV><PRF>meet=1SG.NOM	S-teruŋ|-em-|-en-|=ku	meet|AV|PRF|1SG.NOM	Rendered example 19b repeats the same inflected matrix verb and gloss as 19a.
tsukida2014_seediq_S024	2	q-em-ita	AV-see	<AV>see	q-ita|-em-	see|AV	Rendered example 23 aligns the infixed verb with AV-see.
tsukida2014_seediq_S026	1	T-em-egesa	AV-teach	<AV>teach	T-egesa|-em-	teach|AV	Rendered example 25 aligns the first infixed verb with AV-teach.
tsukida2014_seediq_S026	7	t-em-egesa	AV-teach	<AV>teach	t-egesa|-em-	teach|AV	Rendered example 25 aligns the second infixed verb with AV-teach.
tsukida2014_seediq_S029	1	P-en-huqil	AV.PRF-kill	<AV.PRF>kill	P-huqil|-en-	kill|AV.PRF	Rendered second example 27 aligns the bracketed infixed verb with AV.PRF-kill.
